영화평점,영화감상평
7,원했건 원하지 않았건 스티븐 스트레인지에게는 꼭 필요했던 멀티버스 여행
6,"좀,,,,그렇다,,,,"
5,"배우들의 열연과 갈려나갔을 cg팀에게는 박수쳐주고 싶음. 완다를 완전 공포스러운 빌런으로 묘사하고자 했던 시도도 새로웠고 재밌었는데 이 공포영화 클리셰를 후반까지 계속하니까 나중엔 너무 유치하게 느껴졌고... 공포 분위기 뿐만 아니라 억지 감동 억지 전개가 너무 많았는데, 멀티버스 세계가서 소중했던 기억 보여주는 가게 앞에서 뜬금없이 아메리카가 자기 엄마들 날려버린 기억이 등장하질 않나 날아다닐 수 있는 완다가 다리를 절면서 쫓아간다감. 그리고 눈 세개달린 스트레인지가 증명해보라고 할 때 자기 여동생 못구한 얘기듣고 납득하는게 이해가 안갔음 어차피 다른 멀티버스면 똑같은 일을 겪는게 아니지않음..?? 그리고 마지막에 사람들 죄다 희생시켜서 자기가 행복해지려던 완다가 마지막에 아메리카 힘 흡수해서 그냥 다른 멀티버스로 가면 되는걸 갑자기 눈물흘리면서 셀프 봉인엔딩까지.. 스파이더맨 노웨이홈하고 엔드게임이 너무 넘사벽급 재미여서 그런가 중반이후부터는 너무 재미없었고 너무 기대해서 본 것 치고는 진짜 1점짜리였음"
8,재밌었는데 판타지 공포영화….
2,닥터 1을 생각하면 이번 시리즈는 그냥 없던 편으로 생각하고 싶음. 개연성이 떨어지고 스트레인지의 개성을 스토리 진행을 위해 뭉개버린 부분이 너무 아쉽다. 새로운 캐릭터도 그다지 매력적이지 않고... 쿠키는 첫번째만 보세요
10,쿠키영상2개인데 마지막쿠키영상은 꼭봐라 다음예고편에 굉장히 중요한요소이니 꼭보길바란다
10,마블의 세계관 ㅁ미쳤다!!
10,내 최애 빌런 닥터스트레인지! 너무 재미있게 잘봤습니다.쿠키 끝까지 보는걸로!
10,진짜 재밌네요 삼스파에 이어 일루미나티까지
7,잘봤어요
10,무서워요깜짝 놀라는 장면 5개 정도
7,스토리가 매우 흥미 로웠습니다고어한 연출이 미쳤네요그런데 이게 왜 12세인지;
4,완다 무쌍찍는것만 한시간동안 보니깐 지루하네요 뭐 감동도 없고
4,마블에 세계관이나 철학은 사치야 제발 재밌게 만들어 달라..
6,너무 기대했나? 호불호가 갈린다는데 나는 불호였나보다.
10,매우 많이 재미있습니다.
6,제목그대로예요 <대혼돈>
10,쿠키 영상 두 개 다 봤어요~ 재밌어요~
10,돈 안아까울 정도로 재밌음
10,진짜 재밌음 근데 조금 아쉽
2,기대감에비해 너무실망스러웠음샘레이미특유의 공포스럿연출은 좋았지만 케릭터들을 이용하는 방식들은 너무단순하고 유치함까지 느껴졌을정도
10,샘 레이미 감독... 앞으로도 하고 싶은 거 다 하게끔 마블이 돈 많이 주면 좋겠습니다.
9,"- 컴버배치 홀리킹갓섹시- “완다비전” 사전 감상 필수- 가장 최근 마블작품인 스파이더맨과 비교하면 안됨, 스트레인지 서사 자체가 훨씬 정교하고 복잡함- 다양한 스토리를 넣어야했던 감독의 고뇌가 느껴짐. 그래도 잘 풀어냄"
6,너무 기대하고 기다리던 영화였는데연출이 좀 아쉬웠습니다~
6,닥스는 피아노를 잘 친다
6,초반에 지루해서 졸았음 ….
10,역시 닥터 스트레인지! 잼있게 잘 봤습니다!완다 어쩔...
8,전체적인 스토리와 연출은 좋지만 너무 과몰입한 나머지 제가 멀티버스에 들어간 것 같은 느낌이 드네요
10,믿고 보는 닥스! 재밌어요
8,조금 무서웠음. 졸립지 않고 쫄깃함.. ㅎㅎ 무서워서..낮게줌
10,꿀잼 꿀잼 꿀잼토비 안나와서 쪼금 서운했음
8,좋았어요~ 추천합니다
10,완다의 한은 오뉴월에 멀티버스를 내리게 한다!!
7,지루할 틈없이 꽉 채운 볼거리. 완다의 개연성이나 스토리는 유치.
10,마블 영화중에 난 제일 재미있던 영화
10,개재미있네..가족들이랑 마블다봤는데... 이건 초딩이 보긴조금 무섭긴한데 적응된 애들은 괜찮 ㅋ
10,기본지식 없는분은 관련 영화보고 평점 주시길...기대만큼 충분히 잼났음
8,마블의 또다른 무대의 시작점.
10,완다 그럼 죽는 거에요?
6,최강 전사들인데 완다한테는 다들 왜 그렇게 허무하게 죽누… 음표로 싸우는거 진짜 엥? 하고 봤다 쿠키영상 2번째 보라고 한사람 대박 진짜? 내가 본게 맞나싶었음 ㅋㅋ 칭찬해 :)
8,신동덤보다 훨씬 재밌게보았고 멀티버스 소재로 영상미가 더 높아진 것 같습니다!
7,중간중간 유치해질 수 있는 연출들을 배우들의 명연기로 잘 살려낸 영화임 마블이니까 당연히 잘 만들었겠지 하는 생각은 버리고 머리를 비운 채로 보면 나쁘지 않은 듯
6,닥스1에서 느꼈던 세련된 효과와 연출을 기대하고 관람했는데 예상외로 클래식한 장면이 많아서 아쉬웠네용 그래서 그런지 집중이 안됐어요
6,잫 보았음니다. 좋은영화엿슨니다
6,샘 레이미 감독 특유의 B급 영화 감성이 나왔다.하지만 아주 강했던 영상미가 돋보였던 전작에 비해 이번 영화는 아쉬운 부분이 있었다.굳이 닥터 스트레인지가 B급 공포 영화의 스타일로 찍혀야 했는지 의문이다.
10,개재밌었음.... 근데 마블영화 많이 본 사람들이 감동받을 수 있는 이야기
8,역시 마블중에 제일 사랑하는 닥터스트레인지 그치만 일반관에서 보는건 비추 이런영화는 아이맥스나 3d같은 효과 빵빵한 관에서 보는게 최고죠. 아이맥스 3d 나오게해주세요
10,너무 재미있었다.역시 마블!!
10,재밌고 재밌고 재밌음.
8,샘 레이미만의 색이 묻어있어서 좋았다.
10,"특유의 닥터 스트레인지 영상미에 도전적인 새로운 장르, 그리고 배우들 연기까지.. 누가 누굴 평가를 할수 없는 대작..너무 재밋네요"
10,샘 레이미 감독의 연출을 좋아한다면 정말 추천합니다!!!
10,완다 스토리텔링 완벽! 엘리자베스 올슨 배우에 연기가 살림 이거 보고 완다비전 다시 정주행함
10,아.. 완다.. 진짜 질질 짰어요
2,이게 영화냐?완다가 수많은 사람들을 죽인 이유가 있지도 않은 자기 새끼들과 살겠다고 사람들을 죽이고 멸망으로 가져간다는 개OOO 내용이 말이되나?쓰레기 스토리 지루하고 돈이 아깝네요
10,마블팬이라면 최고입니다
9,아주 재미있어요
2,에휴 돈아깝다....
6,마블을 너무 기대했던걸까.
10,완다 ㅠㅠ 진주인공
6,음...자세하게는 모르지만 전투 액션씬이 손발이 오그라드는 부분이 많네요ㅋㅋㅋ
6,늘 사랑으로 키울게
9,닥터스트레인지라 쓰고 완다로 읽는다
1,진짜 재미없네
7,샘레이미는 공포영화만 찍어라..
6,제목 닥터스트레인지:더좀비로 바꾸셈
9,2시간이 지루하지 않은 재미 자연스럽게 완다에게 빠져버림....
6,요즘 마블은 비대해진 세계관 감당을 못하는지 아무리 잘 만들어도 정신사나움 ㅡㅡ; cg는 한결같이 좋아지긴 하는 듯. 완다비전 내용은 대충 파악하고 가길 추천
1,완다비전 안본사람은 보지마세요보다가 어이털리고 노잼이라 보다 나옴
10,으스스~~ 호러보는줄~ 마블은 실망을 안시키네요! 완다는 넘슬퍼ㅜ
6,음표로 싸울때 좀…웃겼습니다.하프에서 음표 하나 날아갈때 웃참 실패후반부부터 내용은 재밌습니다…완다 연기를 너무 잘해서 소름돋음
8,1편이 워낙 새롭고 재밌어서 그런지 1편보다는 덜하지만 마지막에 악을 퇴치하는 과정에서 교훈도 있고 재미는 있었다
6,이건…. 뭐지?라고 생각함…
10,"N차 보고 느낀 점은 연인 간의 사랑, 자식에대한 사랑이 엄청 느껴졌다. 닥스 사랑받는 크리스틴은 좋겠다"
6,닥스와 완다 연기력으로 살렸다고 본다.
10,영상과 음향이 잘 어우러진 영화.완다비전을 보고 간다면 충분히 감정선을 이해할 수 있음.
10,스토리상 연출이 상당히 힘든 캐릭터지만 이 정도 표현은 상당히 잘한거 같네요! 물론 아쉬움도 있지만 이 정도도 만족합니다.
7,와 근데 너무 조잡해졌다...
10,스파이더맨 노웨이홈이 망쳐버린 마블을 닥터스트레인지가 다시살려냈다
10,너무재밌었어요 ㅋㅋㅋ
6,배우들 연기는 지리는데 음표날리고 갑자기 좀비물 비스무리하게 헛웃음나옴 심지어 앞자리 커플 30분도 안되서 나가버림..
10,나도 재밌게만 봄 ㅋ 고어네 뭐네 말 많았지만 그렇게 잔인하지도 않았고.
8,"새로운 장르와 스타일인데, 배우들의 매력 때문에 괜찮게 봤습니다."
8,기대이하여서 아쉬웠음
8,닥터 스트레인지 펜입니다!!디즈니사에서 마블영화를 만들어서 그런지 느낌이 달라지긴 한것 같아요 그래도 마블은 마블. 분위기는 좀 다른데 닥터 스트레인지의 매력은 남겨두어 다행인듯.. ㅋㅋ
6,마블 광팬으로서 샹치 블랙위도우 이터널스 까지 꾹참고 버텼는데 닥스까지 이래버리면 진짜 실망인데
10,재밌게봤어요!!!!
10,꿀잼꿀잼꿀꿀꿀잼잼잼꿀잼
4,막장드라마보는것같음
5,기대했던거에 비해 실망만 남겨줌
2,"분명 감독은 김피탕을 만들어보려고 했을거다. 비주얼은 구려도 색다른 시도, 색다른 맛, 호러와 히어로? 이거 은근 괜찮네? 이런 맛을 끌어내려 했지만 그냥 음식물쓰레기를 만들어버렸다. 히어로장르에 대한 감독의 이해도가 심히 의심스럽다. 그냥 꺼지고 b급 호러영화나 쳐만들러갔으면... 그리고 내가봤을때 감독도 완다비전 안보고 영화만들었다... 아니 하다못해 닥스 전작은 봤을까?봤으면 이렇게 ㅈ같은 연출과 스토리가 나올수가 없다"
7,좀비물인줄ㅋㅋ 신선하기는 한데 아쉽기도
10,여태 마블과는 전혀 다른 느낌의 영화
6,"개봉전 반응: 이건 역대급 명작으로 길이길이 남을 듯, 닥스역은 진짜 신의 한수다, 멀티버스 지렛대 지린다, 5월이 다가올수록 가슴이 웅장해진다.. (..라며 별 셀레발 다 떨더니)개봉후 반응: 역대급 망작이다, 베컴에 샘 감독 가지고 이걸 내놔? 안본 눈 삽니다..과연 셀레임의 민족답다."
9,호러를 연출하기 위해서 필요없는 잔인한 장면들이 군데군데 있네요. 전체적으로는 재미있었습니다.
8,와우 스칼렛위치 지리누
9,"일루미나틴지 뭔지 아가리맨,판타스틱포,엑스맨은 왜 쳐 나옴...? 진짜 결이 안 맞어...그 외에는 정말 재밌었음. 잔인한 부분도 있고 완다가 어중간한 마녀도 아니라서 좋았고 여러 닥터를 볼 수 있어 재밌었다. 또보러갈거임한 세번 정도 재밌게 볼 듯.근데 감독이 좀비물을 좀 재밌게 본 듯"
8,"신박한 연출과 배우의 연기, 스토리 모두 만족!"
9,아무것도 모르고갔다가 호러 느낌이라 당황했지만 재밌음.
4,마블 여태 본 것 중 젤 별로였음.B급 호러무비를 보는 것 같은 연출은 내가 뭘 보고 있는건가 의심하게 만들고 완다의 빌런 전향은 솔직히 완다비전도 다 봤지만 좀 억지스러웠음. 흑마법에 홀려서 정신이 망가졌다고 해도 그리 몰입되진 않았고..다른차원의 영웅들 갈갈이는 도대체 뭘 위한 연출인지.. 그냥 자극적이기만 했고 다 끝나고 나서 느낀점은...나 뭘 본거지? 아메리카의 등장서사물인가? 마블 캐릭터로 만들어 낸 B급호러 팬무비인가? 인커젼에 대한 내용이 처음 나오면서 앞으로 나올 마블영화의 자극적인 밑거름이 되었다? 정도의 감상 밖에 느낄 수 없었습니다.기대가 컸던만큼 아쉽네요. 스칼렛위치가 이렇게 소모되는 캐릭턴가 싶고..
7,"섬뜩한 연출이나 화면은 잘 채웠는데, 1편에서의 기대했던 공간을 활용한 연출은 많지 않아 다소 아쉬웠고 내용이 드라마와 연계도 있고 여러 소재를 다루느라 다소 바쁜 영화였습니다."
10,개꿀잼인데 한번더보고싶을정도..
8,"샘 레이미 감독 특유의 풍미, 이블데드를 좋아하는 나에게는 큰 선물"
7,개OO같다. 근데 재밌다.
1,"걍 개연성 밥말아 먹은 좆구데기. 마블 닥스 2개만 가지고 해보려다 안된 쓰레기 B급영화. 안보는거 추천함. 걍 부모님이랑 밥이나 먹으러 가셈 아니면 여친이랑 돈 더 보태서 레스토랑이나 가셈. 연기만 잘했지(닥스, 완다) 나머지는 쓰레기에 가까움. 스칼렛의 감정에 몰입하니 어쩌니 문제가 아님 온갖 허접한 판자로 막은듯한 설정, 정신나간 전개, 허접한 결말 구멍 송송난 구찌팬티 입은 기분임."
8,영상미랑 액션은 좋으나... 약간 지루한게 있어요 ㅠㅠ
10,역시 마블은 굿 재미있네요
10,역시 샘레이미 역시 마블 역시 케빈파이기
8,정말 대혼돈 그자체
5,"완다비전의 긴 빌드업을 따라가며 닥스1을 뛰어넘는 확장을 기대했던 나로서는, 단순하고 선형적인 스토리가 황당했다. 하위 장르로 선택한 호러도 그냥 끔찍하고 보기 불편했을 뿐, 어떤 의미도 찾지 못했다. 그냥저냥한 눈요기, 시간때우기용 호러 판타지 영화로는 괜찮을지 몰라도, 내가 기대했던 닥스2는 그런게 아니었기에.. 별로였다."
7,닥터스트레인지1만 봐서 거기에 나오지 않은 내용은 대충 눈치껏 알아들었다
10,마블치고는 아쉽지만 재밌음
10,"완다비전을 시청 하지 못한 사람들이라면 혹평을, 디즈니플러스를 통해서 본 사람들이라면 완다의 감정을 이해할지도.. 하나 아쉬운건 디즈니플러스를 전국민이 과연 다봤을런지.. 악평과 호평이 공존되는 평이 많은점이 이해가 되는 영화.."
6,분명히 액션인데...왜 스릴러처럼 깜짝깜짝 놀래키는지...그리고 이젠 좀비영화로 바뀌는 겁니까??처음에는 마블영화처럼 괴수나오다가 갑자기 장르가 바뀜
8,공장에서 찍어낸 우수 상품을 보는 듯 했던 지난 마블 영화에 장인의 손길을 더한 작품.
8,히어로가 아닌 인간의 감정을 그리다...
9,오랜만에 영화관에 가서 본 마블영화재밌었음!
10,눈이 확실히 호강합니다
10,여태 마블영화 중에 손에 꼽게 재밌음… 스파이더맨보다 재밌는데 평점 왜이러는건디 ㅠ
10,재밌어요 연기도 잘하고
9,지루하지 않음. 완다 나오는 순간 눈물 버튼 눌림
9,내용도 여기도 너무 좋았습니다
6,이래저래 아쉬움이 남는건 어쩔 수 없지만 그래도 닥스짱 닥스존잘 닥스섹시해 평생 닥스해 김베니
9,간만에 아주 재미있게 봤네요.샘 레이미 감독 역시 최고입니다.
10,정말 지루함없이 잼나요....
4,완다가 뜬금없는 좀비 추격신을.. 영화 끝나고 감독 필모를 봤다. 닥터스트레인지 최애 캐릭이 이었는데. 이렇게 망쳐 놓다니;;
10,재밌다 !!일단 세계관 이해하고 봐야됨연출로까고 평점테러하는사람들 개미똥꼬만큼은 이해감..ㅋ
10,닥스와 샘레이미의 조합 상당히 만족스러웠다공포스러운 느낌을 조장하는 ost도 좋았고 완다와 좀비닥스의 기괴한 움직임도 좋았다아쉬운점은 너무나 허약한 일루미나티와 촌시러운 클레아 코스튬 정도
10,재미없다는 댓글들을 보고 내심걱정했는데...너무 좋았어요ㅎㅎ꼭 보러가세용~슬픈장면도 있답니다ㅜ
2,ㅋㅋ음표공격은 진짜 선 씨게 넘었지….쓰라는 마법은 안쓰고 뛰어 다니기만 함 영화가 전체적으로 답답해요.두번째 쿠키는 보지마세요 시간 아까움그리고 소서러수프림은 대체 언제쯤 되는거냐
10,공포 스릴러 드라마 액션 모든 장르를 완벽하게 요리했네요. 훌륭하고 충격적인 이 영화를 만들어준 감독과 연기자들에게 감사를 드립니다.
10,왜 무섭다고 말 안 했어요 왜 무섭다고 말 안 했어요 왜 무섭다고 말 안 했어요
6,배우들의 연기가 대단하다
10,너무나도 갑작스럽게 세련된 형식을 갖춘 나머지 쉽고 단순하게 풀어 설명하지 않는다면 기존 팬들에게 전해지지 못해 어리둥절해질만도 하지만 아마도 마블은 가장 결정이 필요한 순간에 배짱 좋은 선택으로 식상함 대신 가능성을 만들어낸 것 같다
1,쓸말없음 음표공격 하...
9,"각본은 재미있는지 모르겠다. 정보만 계속 나열하는 느낌이고 세계관이 캐릭터에 파묻힌 느낌이었다. 약간 호러 요소가 있어서 심약자들이 보기에는 주의해야할 부분도 있다. 하지만 전체적으로 화려한 cg와 액션 덕에 눈이 즐거웠고, 베네딕트 컴버배치를 비롯한 배우들의 1인 다역 연기가 좋았다. 마지막 쿠키 영상이 두 개가 있는데, 첫 번째 쿠키영상은 3편이랑 연결될 것 같은 부분이니까 꼭 보길 추천하고, 두 번째 쿠키영상은 그냥 개그적인 요소라 꼭 보고 나오지는 않아도 될 듯하다."
10,정말영화 잘 만들었네여 하지만 마블 세겨관을 모르면좀어려울뜻
10,아~~ 완다는? ?
10,모든 평가가 마블안에서의 평가지 다른 타영화와 비교하자면 당연 쵝오의 영화임
10,완다비전은 꼭 보고 가세요. 안보면 이해가 잘 안될듯 합니다.
10,색다른 마블이라 좋았다 다만 12세 관람가는 아님 무섭더라
7,스토리 라인이 진행되면서 문제해결에 진전이 있어야 하는데 그런 느낌은 받지 못했고 내용도 너무 강강강이라 개인적으로 좀 피곤했지만 가볍게 재밌게 보기는 괜찮았음. 드라마는 따로 안 보고 봤는데 크게 문제는 없었던 듯
10,개인적으로는 재미났음
5,새로운시도는 좋은데 액션이 좀..
10,좀비영화 인 줄 ㅋㅋㅋ뭐 볼만 합니다. 간만에 팝콘먹고 좋았음
10,그냥 미쳤음 난 완전 극호
2,완다비전2 - 좀비호러쇼
9,저는 마블 시리즈 이런거 제대로는 모르는데 나름 재미있었답니다
10,호불호가 갈리지만 극호
10,난 재미있었음~.~ !!
10,완다 비전 보고 가서 잼게 봤지만 안보고 온 사람들은 이게 뭔가 싶을 듯
8,"마블 유니버스의 대성공은 끝없는 변화 덕분이라는 사실을 다시금 깨닫게 해주는 영화. 샘 레이미 감독답게 새롭고 진취적이며 매력적이다. 다만, 디즈니플러스와 연계가 갈수록 강화되는 것이 오직 영화팬인 나에게 아쉽게 다가온다."
8,"전체적으로 재미있게 봤으나, 기존 MCU팬으로 원하던 그림들이 안나와서 끝맛이 쓴 작품."
8,기대했던 것 만큼 화려한 액션신도 없고 닥스는 너무 너프됨 좀 아쉬운 영화
10,"존잼인데,완다 불쌍해"
8,재밌기만 하더구만
9,닥스의 마법이 애들 마술같이 되어버린거 같아 아쉬웠지만 굉장히 재밌게봤습니다
8,마블에서 기대 안 했던 공포 영화 바이브가 신선햇기에 ...
6,완다비전으로 영화제목 변경해야할듯
4,연기와 CG 모든게 좋았는데 스토리가 개구려요 닥터스트레인지보다는 완다를 위한 영화였음 포크아저씨어떡함.. 안타깝습니다
10,넘넘 잼나게 봤어요!!!
8,본격적으로 판이 넓어지는듯...
10,마블 첫 영화였는데 진짜 재밌음 닥스한테 빠지게 된 영화.. 재밌었어요ㅠㅠ
6,좀비 히어로제목을 완다랑 스트레인지로걍 마블중에 제일 재미 없엇음
10,시간가는줄 모르고 봤습니다!!!
4,배우들의 열현.CG로 눈가리고 아웅
10,완다 너무 불쌍하고 예쁘지 않아..? 글고 스트레인지 부드러운 모습 볼 수 있어서 좀 감동..
10,"아 존잼,, 3 언제나와"
6,닥터 스트레인지가 인피니티 워 때 보다 너무 약해진 느낌이 드는 액션씬이 많네요... 그리고 원초적으로 와 재밌네? 란 느낌이 많이 부족한 영화였습니다.. 그래도 닥터스트레인지 영화 답게 영상미 하나는 너무 좋았습니다 ㅎ 근데 요즘 마블영화들 보면 점점 극장가서 보기가 살짝 겁나기 시작하네요 ㅠ
5,감동도 재미도 없고 너무 뻔함내용이 없음영상미 덕에 그나마 5점기대를 한 내탓이지ㅠ
9,마블영화는 명불허전이다! 그런데 꼭 완다를 그리 했어야만 합니까..ㅠ_ㅠ....
8,마블 좋아해서 혼자보러 갔는데 둘이 갈껄 싶었어요....
8,매우 높은 퀄리티의 볼거리와 영상미. 눈호강^^
6,너무 기대를 했는지 실망도 컸던 영화..
7,대 혼돈이다… 마블이ㅡ너무 감당 불가능한 수준으로 일을 벌려놨네완다가 너무 불쌍
8,음표날리기 빼고 재미가있었다
6,"클리셰가 촌스럽게 쓰여 자꾸 김새게 만들어요!스파이더맨 노웨이홈은 클리셰라 할만한 요소가 적절하게쓰여 오히려 몰입도를 높이고 재미나기만 했는데, 다음장면 뭐나올지 알아도 빨리보고싶어서 더 기대되고 나오면 이거지 하는..근데 닥스는..음표 싸움장면이나 닥스가 챠베즈에게 윙크하는 장면등은 너무 뜬금없고 촌스러워요..캐릭터들도 매력이 떨어졌습니다. 졸개 악당들을 포함한 주요 캐릭터도 뭐하나 작은 변주도 없이 너무 뻔하게 연출되니 지루했어요! 아메리칸 챠베즈도 중요캐릭터인데도 겉돈다고 느껴졌구요! 일루미나티 멤버들도 죽을땐 죽더라도 이냥반들이 한가닥한씩은 한다는 느낌을 줘야하는데, 진짜 졸개들같이 죽고 그렇다고 완다가 압도적으로 강해 보이지도 않았어요!캐릭터 능력 설정도 김새게 만들어요! 모르도vs닥스 싸울때 닥스가 발차고 벽타기로 벽위로 올라가니 모르도정도 마법사가 그 벽에 막혀 눈앞에서 닥스를 놓치는 장면, 일루미나티 캡틴마블이 고작 동상에 깔려서 패배하는 장면. 호러컨셉이라 그런지 실내에서 주로 싸우는데, 전투공간 스케일이 드라마인 완다비전 마지막 전투보다도 작게 느껴지고, 엄청 강한 닥스와 그를 상회하는 스칼렛위치의 무시무시한 힘이 잘 안느껴져요! 전반적으로 다음장면이 안 궁금해지고 몰입감이 떨어져요! 기대했는데 아쉽네요...그래도 중간중간 호러컨셉의 화면전개는 재미있다고 느껴졌습니다."
5,완다 스트레인지
6,댕같이 멸망했누 감상포인트 없음 못하나
8,뻔한 마블식 히어로 영화에서 벗어나려고한 영화에요.호불호가 많이 갈릴 수도 있지만 저는 정말 재밌었습니다.
8,진입장벽이 나날이 높아지지만 그래도 따라가게 되는 마블
8,관람전 완다비전 시청 필수. 유튜브에서요약본이라도 보고가셔야 영화를 더 재미있게 즐길 수 있습니다. 별점이 하나 빠진건 주인공인 닥스의 액션이 생각보다 너무 약해요ㅠ
10,병맛 포인트가 넘 많아서 깰 때가 많지만..마블은 사랑이야 ♥마블 다 아는 사람이 봐야 재밋을듯 특히 완다비전
7,"전체적으로 재미있었어요페이즈4는 멀티버스쪽으로 가는건지,,"
7,액션은 그럭저럭 볼만했으나 스토리가 조금....
10,완전히 재미있는 영화였다 마블 팬들은 좋아할것 같은 영화 예요
8,완다 누님 깜짝 놀라요
8,유튜브에서 사전 지식 채운 뒤 기대 안하고 보니까 너무 재미있었다.아이맥스 추천!
8,닥터스트레인지가 마법사라는 것에 화려한 마법을 구사하는 전투를 기대한 것도 있지만 닥스 두명이 만나 전투를 하는데 음표 전투라는게 이 전투를 보면서 이건 아닌거 같다라는 생각이 났네요 이부분과 다른 아쉬운 부분이 있었지만 재미있게 잘 봤습니다.
2,닥스 1의 화려한 영상미를 기대하고 가면 실망할 영화. 완다에 대한 비중이 크기에 주인공이 완다라고 보는 사람도 있음. 런닝타임이 부족해서 그런지 영화 자체의 개연성이 부족하고 연출이 올드함. 호불호가 심하게 갈리는 영화임. 12세치고는 굉장히 잔인하고 사운드가 굉장히 날카롭고 귀가 아픔.
4,"음,, 마블영화덕후인데 기대를 너무 많이해서 그런지,, 그저 그랬음"
8,마블덕후라 재밌게 봤어요ㅎㅎ
8,연출은 그닥인데 연기가 다 함 ㄹㅇ 연기 개잘해
4,영상미는 굿(그래서 4점)내용은 도덕책 왜 저걸로 싸우고 급발진하는건지... 빌런인 완다가 주인공인 느낌갠적으로 그냥 인터넷에 풀리면 보십쇼.
10,오래 기다렸는데 개봉해줘서 너무 고맙고 보는내내 행복했습니다
8,마블 영화는 평타 이상은 하는듯재밌었어요~
6,완다로 주인공이 바뀜 정신병 완다
7,음표공격 빼곤 반전도 괜찮았고 재밌었음
10,"코로나로 인해 충족시키지 못했던 마블영화 감상을 간만에 할 수 있는 영화. 스토리, 연기, 영상미 등 모두 대체로 좋았음."
10,안지루하고 재밌었어요.
4,의리로 관람 노잼노잼 요즘 마블 실망스럽다
4,"인정할건 하자. 똑같은 포맷만 20년넘었고, 이젠 식상하고 유치하더라"
10,생각했던거보다 재밌었고 예상치 못한 장면도 나와서 좋았어여 이번에 마블 덕후였지만 찐덕후 하게 됐어요역대급으로 재밌었음
10,"처음에는 분위기가 딱히..? 맘에 들지 않아서 좀 실망했는데, 몇번 곱씹어보다가 진가을 알아버림… 사실 완다 스토리 만으로도 10점은 먹고가는거 아닌가?이 영화로 스트레인지는 크리스틴에 대한 응얼이는 남았지만 여러 자신들을 봐가며 더욱 성숙했고 완다는 가족들, 남친 잃어버리면서 전까지도 굉장히 불쌍한 인생이었는데 이젠 전 멀티버스 내에 대역 범죄자가 돼버림… 가족 다 OO 토르보다 불쌍한 사람은 없을거라 생각했는데 있넹..? 언젠가는 꼭 편리하고 행복하게 살았으면 좋겠음"
5,진짜 대혼돈이다....
10,닥스2 기대안하고봤는데 괜찮음
2,OO 청불각인데 12이고 내용은허무하고 찰스자비에OO 뒤지네
2,오스트레일리아 이후 최악이었습니다.
6,"좀 더 확실히 다크해지고 좀 더 액션이 많았으면 하는 아쉬움이 있지만, 그래도 지루하지 않게 재미있게 봤어요. 친구들과 보기 좋아요...가족과는 좀 그래요."
4,마블은 앤드게임이후로 끝났고그후부터 나오는건 마블의 아류작들..스파이더3도 그렇고 기대이하
10,왜 마블 영화들은 좋은 방법을 놔두고 굳이 어려운 쪽으로 가려고 하는 거야;;;
9,재밌는ㄷㅔ??흥분도가니상태
2,"크리스틴팔머는 닥스랑 헤어지고 흑인과 결혼, 아메리칸차베즈는 히스패닉계 이상한 사람을 데려오고, 엄마는 둘, 그냥 PC충들이 디즈니를 삼켜버린건지 디즈니가 PC화를 조장하는건지, 둘 다인지...그냥 마블도 망한듯"
4,"액션씬은 느려서 지루하고스토리가 별론지 연출이 별론지 조금 유치했음...완다의 서사가 이해안된다고는 하는데그건 별로 신경 안쓰임 그것보다 신경쓰이는 것들이 더 많음...그리고 반복되는 것같은 장면들이 신경이 쓰였다,..주먹 꽉 쥐고 힘주는 것같은 모습...."
6,"진짜 감독.. 감독 연출 스타일이 마블이 그동안 전개한 스타일이랑 너무너무 안 맞음. 노웨이홈이랑 로키, 완다비전으로 멀티버스 고급지게 빌드업 해놨는데 이번 닥스2에서 촌스럽고 유치하게 풀어놓음. B급으로 잔인하게 죽는거나 좀비신, 음표신에서 진짜 킹받는다.. 마블거 보다가 비웃은거는 처음임. 아 또 생각하니까 열받네평점 연출만 생각하면 마블 스타일을 망쳤다는 면에서(뭐랄까 급이 낮아진 느낌)별 한개인데 배우들 연기는 미쳤기땜에 내가 감독 대신 미안해서 별 세개라도 주는거임.. 이거 보면 이전 마블 영화들이 얼마나 괜찮았는지 다시 한번 깨닫게됨."
5,"마블 유니버스에서 닥스 최애인 사람으로서 베네딕트 컴버배치와 엘리자베스 올슨 두 '캐릭터'가 아니라 '배우'의 연기만 눈에 들어왔다. 액션, 스토리 어느 하나 충분히 만족스럽지 못했음. 너무 많은 이야기를 러닝타임 안에서 중구난방으로 붙이려는 듯한 느낌 다분함. 닥스3 존버탑니다"
4,남자사람하고 봤는데 하품을 수십번 했다.조금 볼만한 CG외에는 반복되는 완다 신파에 지루해서 입 쫙 벌리면서 하품하면서 봤다. 같이 본 사람도 나보다는 평이 나은데 조금 졸리긴 했다고 함. 작년 영화관관람 졸다나온 이터널스보다 조금 볼만한 정도. 주연배우 연기는 좋은데 링 도깨비 장면 등 떠오르는 연출이 구림.
10,평점이 왜 낮은지 이해가 안되네요 생각할것도 많고 영상미도 정말 좋은 작품입니다
1,최악의 영화 보다가 잠든 영화는 처음
1,패트릭 스튜어트를 고작 공포영화의 지나가는 소품 취급이라니.
9,재미있었어요
