분류,부정리뷰,cleaned_text,spell_check
부정,완다비전 봤어야 했나..안 본 사람 눈으로는 ㄹㅇ 대혼돈이네요영상미는 좋았어요,완다비전 봤어야 했나 안 본 사람 눈으로는 대혼돈이네요영상미는 좋았어요,완다 비전 봤어야 했나 안 본 사람 눈으로는 대 혼돈이네요 영상미는 좋았어요
부정,뭐...약스포 있음왕은 왜저래?색체는 왜이래?좀 뜬금없이 ok 하네아니....왜저리 약해?? 완다? 최강아님?카메라 무빙 왜저럼?완다 캐릭터 왜저래? 좀비임???악보싸움 실화??효과음 너무 디즈니 스러운구 아님??....OO 좀비 애바아님?마지막은 그래도 신박하네,뭐 약스포 있음왕은 왜저래 색체는 왜이래 좀 뜬금없이 ok 하네아니 왜저리 약해 완다 최강아님 카메라 무빙 왜저럼 완다 캐릭터 왜저래 좀비임 악보싸움 실화 효과음 너무 디즈니 스러운구 아님 OO 좀비 애바아님 마지막은 그래도 신박하네,뭐 약 스포 있을 왕은 왜 저래 색채는 왜 이래 좀 뜬금없이 ok 하네 아니 왜 저리 약해 완다 최강 아님 카메라 무빙 왜 저럼 완다 캐릭터 왜 저래 좀비임 악보 싸움 실화 효과음 너무 디즈니스러운 구 아님 OO 좀비 에바 아님 마지막은 그래도 신박사네
부정,연출 왜 이럼...뭔 c급 공포영화를 만들어놨어...지옥으로 떨어져라는 뭔데...,연출 왜 이럼 뭔 c급 공포영화를 만들어놨어 지옥으로 떨어져라는 뭔데,연출 왜 이럼 뭔 c급 공포영화를 만들어놨어 지옥으로 떨어져라는 뭔데
부정,음표전투 최악,음표전투 최악,음표 전투 최악
부정,감독이 또 마블영화 하나를 망쳤구나,감독이 또 마블영화 하나를 망쳤구나,감독이 또 마블 영화 하나를 망쳤구나
부정,니넨 진짜 보지마라.. 3류 호러 CG영화임..스토리도 개판이고.. 애들도 보러오는거 같던데 대가리 터지는장면도 있고 징그럽더라,니넨 진짜 보지마라 3류 호러 CG영화임 스토리도 개판이고 애들도 보러오는거 같던데 대가리 터지는장면도 있고 징그럽더라,너흰 진짜 보지 마라 3류 호러 CG 영화임 스토리도 개판이고 애들도 보러 오는 거 같던데 대가리 터지는 장면도 있고 징그럽더라
부정,"음,, 평점 갈릴 것 같은데 갠적으로 좀 복잡하고? 어수선했음ㅎㅎ 뭐 세계관을 만들어가는 과정이니 마블덕후로는 이해합니다..",음 평점 갈릴 것 같은데 갠적으로 좀 복잡하고 어수선했음 뭐 세계관을 만들어가는 과정이니 마블덕후로는 이해합니다,음 평점 갈릴 것 같은데 개인적으로 좀 복잡하고 어수선했음 뭐 세계관을 만들어가는 과정이니 마블덕후로는 이해합니다
부정,"마블도 이런 망작을 기어코 내는구나 음표날리기, 좀비물, 스릴러 추격전 이걸 마블에서 보다니",마블도 이런 망작을 기어코 내는구나 음표날리기 좀비물 스릴러 추격전 이걸 마블에서 보다니,마블도 이런 망작을 기어코 내는구나 음표 날리기 좀비물 스릴러 추격전 이걸 마블에서 보다니
부정,디즈니만화동산 실사판느낌ㅋㅋ 음표로 싸우는건 좀,디즈니만화동산 실사판느낌 음표로 싸우는건 좀,디즈니 만화동산 실사판 느낌 음표로 싸우는 건 좀
부정,오ㅏ 여태 마블중에 가장 별로..B급 입니다……,오 여태 마블중에 가장 별로 B급 입니다 ,오 여태 마블 중에 가장 별로 B급입니다
부정,다른 의미로 공포영화였다. 음표는 역겨운 수준닥터스트레인지: 말할 수 없는 대환장의 멀티버스,다른 의미로 공포영화였다 음표는 역겨운 수준닥터스트레인지 말할 수 없는 대환장의 멀티버스,다른 의미로 공포영화였다 음표는 역겨운 수준 닥터 스트레인지 말할 수 없는 대 환장의 멀티버스
부정,중국에서만든줄 너무 유치했다,중국에서만든줄 너무 유치했다,중국에서 만든 줄 너무 유치했다
부정,내 인생 최악의 영화.. 절대 돈주고 보지 마세요.,내 인생 최악의 영화 절대 돈주고 보지 마세요,내 인생 최악의 영화 절대 돈 주고 보지 마세요
부정,샘 레이미 실망이야ㅜ 올드함,샘 레이미 실망이야 올드함,샘 레이미 실망이야 올드햄
부정,"좀비, 공포, 파워레인져, 괴물 을 한영화에 다 때려넣음…; 무지성 마블빠들이 10점을 주는데도 7.7 이면 ㄹㅇ 말 다했짘ㅋㅋ",좀비 공포 파워레인져 괴물 을 한영화에 다 때려넣음 무지성 마블빠들이 10점을 주는데도 7 7 이면 말 다했짘 ,좀비 공포 파워레인저 괴물을 한 영화에 다 때려 넣음 무지성 마블 버들이 10점을 주는데도 7 7 이면 말 다했짘
부정,스토리 개연성은 개나 줘보림. 등장인물은 하나같이 유치하기 짝이없음. 연출은 2000년대 초반 공포영화랑 비슷. 마블 세계관 전부 알아도 재밌을수가 없는 작품,스토리 개연성은 개나 줘보림 등장인물은 하나같이 유치하기 짝이없음 연출은 2000년대 초반 공포영화랑 비슷 마블 세계관 전부 알아도 재밌을수가 없는 작품,스토리 개연성은 개나 줘 보림 등장인물은 하나같이 유치하기 짝이 없음 연출은 2000년대 초반 공포영화랑 비슷 마블 세계관 전부 알아도 재밌을 수가 없는 작품
부정,아쉽네요 ㅠㅠㅠ 핵노잼...,아쉽네요 핵노잼,아쉽네요 핵노잼
부정,음...상당히 난해한 스토리..약간 영상 효과?는 신기하고 눈이 지루하지는 않는데..망작임.. 어이가 없어서 웃음이나옴 ㅋㅋ..갑자기 뜬금없이 좀비나오고 유령나오고 공룡나오고 유령이랑 합체하고..하..머지..?...ㅋㅋㅋㅋ,음 상당히 난해한 스토리 약간 영상 효과 는 신기하고 눈이 지루하지는 않는데 망작임 어이가 없어서 웃음이나옴 갑자기 뜬금없이 좀비나오고 유령나오고 공룡나오고 유령이랑 합체하고 하 머지 ,음 상당히 난해한 스토리 약간 영상 효과는 신기하고 눈이 지루하지는 않는데 망작임 어이가 없어서 웃음이 나옴 갑자기 뜬금없이 좀비 나오고 유령 나오고 공룡 나오고 유령이랑 합체하고 하 머지 
부정,이거 평점 후하게 주는 사람들 그낭 극성 마블팬들임 영화만 놓고 보았을때 개연성이나 연출 면에서 난해하고 재미나 감동 1도 없었음. 본인이 진성 마블 히어로물 팬아니면 절대보지마셈 진짜 개후회했음 보고,이거 평점 후하게 주는 사람들 그낭 극성 마블팬들임 영화만 놓고 보았을때 개연성이나 연출 면에서 난해하고 재미나 감동 1도 없었음 본인이 진성 마블 히어로물 팬아니면 절대보지마셈 진짜 개후회했음 보고,이거 평점 후하게 주는 사람들 그냥 극성 마블 팬들임 영화만 놓고 보았을 때 개연성이나 연출 면에서 난해하고 재미나 감동 1도 없었음 본인이 진성 마블 히어로물 팬 아니면 절대 보지 마세요 진짜 개 후회했음 보고
부정,....아이고...., 아이고, 아이고
부정,구림구림구림구림구림,구림구림구림구림구림,구림 구림 구림 구림 구림
부정,여태 본 마블 최악 ㅎㅎ 쓴거도 없어서 못올리네 마블광팬으로서 진짜 실망,여태 본 마블 최악 쓴거도 없어서 못올리네 마블광팬으로서 진짜 실망,여태 본 마블 최악 쓴 거도 없어서 못 올리네 마블 광 팬으로서 진짜 실망
부정,음표까진 괜찮다가 오선지에서 두손 듬,음표까진 괜찮다가 오선지에서 두손 듬,음표까진 괜찮다가 오선지에서 두 손 듦
부정,대박난 영화 코미디화 해서 만드늣 b급 저질 영화인줄,대박난 영화 코미디화 해서 만드늣 b급 저질 영화인줄,대박 난 영화 코미디화해서 만드늣 b급 저질 영화인 줄
부정,마블영화를 호러로 만들어놨네 ㅋㅋ존나 잔인하고 징그러움완다랑 스트레인지를 좀비로 만들지를않나 ㅋㅋ내용도 산으로 가고 갑자기 뭔 다크홀드? 드림워킹? ㅋㅋ뭔 스트레인지는 다크홀드쓰면 타락한다면서 눈깔세개되고 끝ㅋㅋ꼬마가 여는 멀티버스 문 별모양인거랑 스트레인지 음표 공격 존나유치뽕짝 ㅋㅋ완다는 압승하다가 갑자기 모성애 발동 클리셰 급전개 역겨움 ㅋㅋ걍 개망작영화마블이아니라 B급 영화본줄,마블영화를 호러로 만들어놨네 존나 잔인하고 징그러움완다랑 스트레인지를 좀비로 만들지를않나 내용도 산으로 가고 갑자기 뭔 다크홀드 드림워킹 뭔 스트레인지는 다크홀드쓰면 타락한다면서 눈깔세개되고 끝 꼬마가 여는 멀티버스 문 별모양인거랑 스트레인지 음표 공격 존나유치뽕짝 완다는 압승하다가 갑자기 모성애 발동 클리셰 급전개 역겨움 걍 개망작영화마블이아니라 B급 영화본줄,마블 영화를 호러로 만들어놨네 존나 잔인하고 징그러움 온다랑 스트레인지를 좀비로 만들지를 않나 내용도 산으로 가고 갑자기 뭔 다크 홀드 드림 워킹 뭔 스트레인지는 다크 홀드 쓰면 타락한다면서 눈깔 세 개되고 끝 꼬마가 여는 멀티버스 문 별 모양인 거랑 스트레인지 음표 공격 존나유치뽕짝 완다는 압승하다가 갑자기 모성애 발동 클리셰 급전개 역겨움 그냥 개막작 영화 마블이 아니라 B급 영화 본 줄
부정,슈퍼 히어로 영화를 보러 갔는데 왠 조잡한 b급 공포영화를 봐야했고 재미있게 볼려고 노력해봐도 중간중간 등장하는 공포스러운 장면들은 지금 제가 마블영화를 보고있는지 의심이 될정도로 별로 였습니다 제가 봤던 마블 영화중에 제일 별로였습니다,슈퍼 히어로 영화를 보러 갔는데 왠 조잡한 b급 공포영화를 봐야했고 재미있게 볼려고 노력해봐도 중간중간 등장하는 공포스러운 장면들은 지금 제가 마블영화를 보고있는지 의심이 될정도로 별로 였습니다 제가 봤던 마블 영화중에 제일 별로였습니다,슈퍼 히어로 영화를 보러 갔는데 웬 조잡한 b급 공포영화를 봐야 했고 재미있게 보려고 노력해봐도 중간중간 등장하는 공포스러운 장면들은 지금 제가 마블 영화를 보고 있는지 의심이 될 정도로 별로였습니다 제가 봤던 마블 영화 중에 제일 별로였습니다
부정,"야 ,,, 장난하나 싶다 진짜,,,제목대로 대,혼,돈 그 자체다 ㅋ",야 장난하나 싶다 진짜 제목대로 대 혼 돈 그 자체다 ,야 장난하나 싶다 진짜 제목대로 대 혼 돈 그 자체다 
부정,너무 유치... 볼거리는 많더라,너무 유치 볼거리는 많더라,너무 유치 볼거리는 많더라
부정,샘레이미는 그냥 이블위딘 마블 하나 찍자,샘레이미는 그냥 이블위딘 마블 하나 찍자,샘 레이미는 그냥 이블의 딘 마블 하나 찍자
부정,내 첫 평점 작성이 마블에 1점을 주는 거라니...앤드게임 이후로 마블은 끝났다,내 첫 평점 작성이 마블에 1점을 주는 거라니 앤드게임 이후로 마블은 끝났다,내 첫 평점 작성이 마블에 1점을 주는 거라니 앤드 게임 이후로 마블은 끝났다
부정,스칼렛 위치 : 대혼돈의 멀티버스,스칼렛 위치 대혼돈의 멀티버스,스칼렛 위치 대혼돈의 멀티버스
부정,"닥스1, 어벤져스 이후로 마블영화가 멈춰있는 사람들에겐 상당히 실망스러울수 있음, 화려한 cg를 바탕으로한 마법은 많이 없습니다. 내용도 갑작스러운 장르변경과 샘레이미 감독의 팬이 아니라면 적응하기 힘들거 같습니다 그러나, 킬링타임으론 훌륭했습니다",닥스1 어벤져스 이후로 마블영화가 멈춰있는 사람들에겐 상당히 실망스러울수 있음 화려한 cg를 바탕으로한 마법은 많이 없습니다 내용도 갑작스러운 장르변경과 샘레이미 감독의 팬이 아니라면 적응하기 힘들거 같습니다 그러나 킬링타임으론 훌륭했습니다,닥스 1 어벤저스 이후로 마블 영화가 멈춰있는 사람들에겐 상당히 실망스러울 수 있으면 화려한 cg를 바탕으로 한 마법은 많이 없습니다 내용도 갑작스러운 장르 변경과 샘 레이미 감독의 팬이 아니라면 적응하기 힘들 거 같습니다 그러나 킬링타임으론 훌륭했습니다
부정,지루하네요. 기대헸는데 실망,지루하네요 기대헸는데 실망,지루하네요 기대했는데 실망
부정,마블은 여기서 끝이 났다..ㅋ,마블은 여기서 끝이 났다 ,마블은 여기서 끝이 났다 
부정,완다비전? 그거 안보고 봤음 영화보는내내 드는기분은...오랜만에 친구만났는데 나는 모르는 얘기 지들끼리만 신나게 하고있어서 소외감느낌,완다비전 그거 안보고 봤음 영화보는내내 드는기분은 오랜만에 친구만났는데 나는 모르는 얘기 지들끼리만 신나게 하고있어서 소외감느낌,완다 비전 그거 안 보고 봤음 영화 보는 내내 드는 기분은 오랜만에 친구 만났는데 나는 모르는 얘기 자기들끼리만 신나게 하고 있어서 소외감 느낌
부정,흠...샘레이미 감독이라 혹시나 했는데 역시나... 너무 과함. 유치함이 느껴지는 연출도 많음... 장르를 특정하기 어려운 영화. 중간에 잠을 많이 잤다...흠냐...,흠 샘레이미 감독이라 혹시나 했는데 역시나 너무 과함 유치함이 느껴지는 연출도 많음 장르를 특정하기 어려운 영화 중간에 잠을 많이 잤다 흠냐,흠 샘 레이미 감독이라 혹시나 했는데 역시나 너무 과함 유치함이 느껴지는 연출도 많음 장르를 특정하기 어려운 영화 중간에 잠을 많이 잤다 음냐
부정,열받아서 리뷰쓰러 달려옴 이걸 극본 받고 영화화하겠다는 것도 어이가 없어서 눈물이 난다 닥스 2인데 어째 이걸 이렇게 거지같이 만들줄이야 눈정화하러 닥스 1다시 봐야지,열받아서 리뷰쓰러 달려옴 이걸 극본 받고 영화화하겠다는 것도 어이가 없어서 눈물이 난다 닥스 2인데 어째 이걸 이렇게 거지같이 만들줄이야 눈정화하러 닥스 1다시 봐야지,열받아서 리뷰 쓰러 달려옴 이걸 극본 받고 영화화하겠다는 것도 어이가 없어서 눈물이 난다 닥스 2인데 어째 이걸 이렇게 거지같이 만들 줄이야 눈 정화하러 닥스 1다시 봐야지
부정,다른 멀티버스에서는 닥터스트레인지2가 재밌었으면 좋겠네요^^,다른 멀티버스에서는 닥터스트레인지2가 재밌었으면 좋겠네요 ,다른 멀티버스에서는 닥터 스트레인지 2가 재밌었으면 좋겠네요 
부정,너무 기대했나요...CG는 좋아졌을지 모르지만스토리나 갑자기 호러 좀비물 같은 느낌은... 마블 영화가 아닌 다른 영화에서충분히 즐길 수 있습니다앤드게임 이후로 나오는 영화마다뭔가 삽질? 한다는 느낌을 지울 수 없습니다 3파이더맨 보다가 이게 닥터스트레인지 영화인가? 싶더라구요 단순히 스토리 볼거면 만화책을 보져 ㅡㅡ이따위 B급 만들거면 디즈니 플러스로 드라마로 만들지 실망입니다 마블 정식 개봉 영화 퀄리티가 이러다니 믿고보는 마블 영화라는 저의 인식을 깨버리는 영화 였습니다,너무 기대했나요 CG는 좋아졌을지 모르지만스토리나 갑자기 호러 좀비물 같은 느낌은 마블 영화가 아닌 다른 영화에서충분히 즐길 수 있습니다앤드게임 이후로 나오는 영화마다뭔가 삽질 한다는 느낌을 지울 수 없습니다 3파이더맨 보다가 이게 닥터스트레인지 영화인가 싶더라구요 단순히 스토리 볼거면 만화책을 보져 이따위 B급 만들거면 디즈니 플러스로 드라마로 만들지 실망입니다 마블 정식 개봉 영화 퀄리티가 이러다니 믿고보는 마블 영화라는 저의 인식을 깨버리는 영화 였습니다,너무 기대했나요 CG는 좋아졌을지 모르지만 스토리나 갑자기 호러 좀비물 같은 느낌은 마블 영화가 아닌 다른 영화에서 충분히 즐길 수 있습니다 앤드 게임 이후로 나오는 영화마다 뭔가 삽질한다는 느낌을 지울 수 없습니다 3판이 더 맨 보다가 이게 닥터 스트레인지 영화인가 싶더라고요 단순히 스토리 볼 거면 만화책을 보죠 이따위 B급 만들 거면 디즈니 플러스로 드라마로 만들지 실망입니다 마블 정식 개봉 영화 퀄리티가 이러다니 믿고 보는 마블 영화라는 저의 인식을 깨버리는 영화였습니다
부정,대혼돈 그자체 마블형 좀비영화,대혼돈 그자체 마블형 좀비영화,대혼돈 그 자체 마블형 좀비 영화
부정,짬뽕 대환장.. 난잡하다.. 음악도 구리네 ㅜ.ㅡ,짬뽕 대환장 난잡하다 음악도 구리네 ,짬뽕 대 환장 난잡하다 음악도 구리네 
부정,차베즈가 엄청 귀여워용,차베즈가 엄청 귀여워용,차베스가 엄청 귀여워요
부정,진짜 쓰레기 같다. 역대 마블 영화중에서 가장 실망스러움 ㅜㅜ,진짜 쓰레기 같다 역대 마블 영화중에서 가장 실망스러움 ,진짜 쓰레기 같다 역대 마블 영화 중에서 가장 실망스러움 
부정,정말 역대 마블중 제일 쓰레기 DC보다 더 쓰레기,정말 역대 마블중 제일 쓰레기 DC보다 더 쓰레기,정말 역대 마블 중 제일 쓰레기 DC보다 더 쓰레기
부정,재미없는 공포영화인줄 영상미만 화려함,재미없는 공포영화인줄 영상미만 화려함,재미없는 공포영화인 줄 영상미만 화려함
부정,별로.마블을 좋아하기 때문에 남기지 않을 수 없음.,별로 마블을 좋아하기 때문에 남기지 않을 수 없음,별로 마블을 좋아하기 때문에 남기지 않을 수 없음
부정,쿠키영상 ㅈ같네요 OO꺼,쿠키영상 같네요 OO꺼,쿠키영상 같네요 OO 꺼
부정,"진짜 스트리가 이게 맞나싶다.,.",진짜 스트리가 이게 맞나싶다 ,진짜 스토리가 이게 맞나 싶다
부정,"연출 및 영상미: 닥터스트레인지 1 속 인셉션이 연상되는 공간 연출만도 못한, 상상력을 주지 못하는 멀티버스 세계, 마법진 그래픽. 잘 만들어 본 사람들이 이러니까 더 당황스러웠음. 연기: 리지가 스칼렛 위치를 담당하지 않았다면 MCU 세계관에서 제일 세다고 하는 히어로의 깊이가 얇디 얇은 종이가 될 뻔함. 베니도 나쁘지 않았다고 보지만 애초에 감독이 닥터 스트레인지라는 캐릭터의 기조를 망가뜨린 것 같음. 아까도 설거지하다가 닥스가 하악질 하던 표정이 떠올라고 코웃음 침. 스토리: 일루미나티 팀원들 그렇게 허무하게 죽일거면 왜 출연시킨건지? 완다가 쎄다는 건 알겠는데 빌런만도 못하게 죽이니까 진짜 벙찌고 우스워짐. OST: 제일 환장했던 부분. 비싼 카메라랑 그래픽 쓰면 뭐함? 중요한 장면마다 쓰이는 노래 흐름이 닥스나 완다의 개성을 전혀 느낄 수 없는 구성에 뻔한 전개라서 그 어느 것도 이 영화를 보면서 뽕에 찰 수 있는 부분이 없었음. 토르 라그나로크, 가오갤 , 아이언맨 3 OST 만들던 마블 유니버스 어디감? 이 영화가 나에게 남긴 의의는, 코로나가 진정되어 메인 주인공 배우들의 홍보 활동, 행사참여, 사랑스럽고 새로운 인터뷰 컨텐츠를 볼 수 있다는 것 말곤 없음.",연출 및 영상미 닥터스트레인지 1 속 인셉션이 연상되는 공간 연출만도 못한 상상력을 주지 못하는 멀티버스 세계 마법진 그래픽 잘 만들어 본 사람들이 이러니까 더 당황스러웠음 연기 리지가 스칼렛 위치를 담당하지 않았다면 MCU 세계관에서 제일 세다고 하는 히어로의 깊이가 얇디 얇은 종이가 될 뻔함 베니도 나쁘지 않았다고 보지만 애초에 감독이 닥터 스트레인지라는 캐릭터의 기조를 망가뜨린 것 같음 아까도 설거지하다가 닥스가 하악질 하던 표정이 떠올라고 코웃음 침 스토리 일루미나티 팀원들 그렇게 허무하게 죽일거면 왜 출연시킨건지 완다가 쎄다는 건 알겠는데 빌런만도 못하게 죽이니까 진짜 벙찌고 우스워짐 OST 제일 환장했던 부분 비싼 카메라랑 그래픽 쓰면 뭐함 중요한 장면마다 쓰이는 노래 흐름이 닥스나 완다의 개성을 전혀 느낄 수 없는 구성에 뻔한 전개라서 그 어느 것도 이 영화를 보면서 뽕에 찰 수 있는 부분이 없었음 토르 라그나로크 가오갤 아이언맨 3 OST 만들던 마블 유니버스 어디감 이 영화가 나에게 남긴 의의는 코로나가 진정되어 메인 주인공 배우들의 홍보 활동 행사참여 사랑스럽고 새로운 인터뷰 컨텐츠를 볼 수 있다는 것 말곤 없음,
부정,B급 공포를 섞은 최악의 마블영화,B급 공포를 섞은 최악의 마블영화,B급 공포를 섞은 최악의 마블 영화
부정,페이즈4에서 다 말아먹는구나..,페이즈4에서 다 말아먹는구나,페이즈 4에서 다 말아먹는구나
부정,마블영화 보러갔는데 B급 좀비영화 보고나온 기분,마블영화 보러갔는데 B급 좀비영화 보고나온 기분,마블 영화 보러 갔는데 B급 좀비 영화 보고 나온 기분
부정,최악...완다메인빌런은노답인데,최악 완다메인빌런은노답인데,최악 완다 메인 빌런은 노 답인데
부정,허참... 마블 갈수록 유치하고 난잡해진다실망이다 실망!,허참 마블 갈수록 유치하고 난잡해진다실망이다 실망 ,허참 마블 갈수록 유치하고 난잡해진다 실망이다 실망 
부정,배우들의 연기력으로 끝까지 보고 나왔네요... 닥스만의 이전느낌이 많이 달라진거 같아서 아쉬웠습니다,배우들의 연기력으로 끝까지 보고 나왔네요 닥스만의 이전느낌이 많이 달라진거 같아서 아쉬웠습니다,배우들의 연기력으로 끝까지 보고 나왔네요 닥스만의 이전 느낌이 많이 달라진 거 같아서 아쉬웠습니다
부정,숲말고 나무를 봤더니 죄다 엉터리 투성이. 자세하게 보면볼수록 허점이 너무 잘보인다.,숲말고 나무를 봤더니 죄다 엉터리 투성이 자세하게 보면볼수록 허점이 너무 잘보인다,숲 말고 나무를 봤더니 죄다 엉터리투성이 자세하게 보면 볼수록 허점이 너무 잘 보인다
부정,비빔밥에 잡탕밥 섞은 난잡함..,비빔밥에 잡탕밥 섞은 난잡함,비빔밥에 잡탕밥 섞은 난잡함
부정,솔직히 그저 그랬음 1편보고 온 입장에서 실망임,솔직히 그저 그랬음 1편보고 온 입장에서 실망임,솔직히 그저 그랬음 1편 보고 온 입장에서 실망임
부정,감독 연출가때문에 좋은 작품 다망친 느낌공포영화 연출은 공포물에서나 해ㅈㄴ 안어울리게 공포연출에 음표cg까지 역겨움,감독 연출가때문에 좋은 작품 다망친 느낌공포영화 연출은 공포물에서나 해 안어울리게 공포연출에 음표cg까지 역겨움,감독 연출가 때문에 좋은 작품 다 망친 느낌 공포영화 연출은 공포물에서나 해 안 어울리게 공포 연출에 음표 cg까지 역겨움
부정,꼬마마법사 레미... 도레미.. 그거인줄.. 스토리를 연출이 말아먹은 것 같다..,꼬마마법사 레미 도레미 그거인줄 스토리를 연출이 말아먹은 것 같다,꼬마 마법사 레미 도레미 그거인 줄 스토리를 연출이 말아먹은 것 같다
부정,"별로였다아아..,/:;",별로였다아아 ,별로였다 아아
부정,샘레이미 개꼰대 감독이 자기스타일 고집하다가 개쓰XX 영화 만들엇네 루소형제가 너무 그립다,샘레이미 개꼰대 감독이 자기스타일 고집하다가 개쓰XX 영화 만들엇네 루소형제가 너무 그립다,샘 레이미 개꼰대 감독이 자기 스타일 고집하다가 가쓰 XX 영화 만들었네 루소 형제가 너무 그립다
부정,"디즈니 플러스 완다비전,왓이프를 보지 않고선 극장판만으로는 세계관 이해하기 힘들게 해놨네ㅋㅋㅋ마블이 디즈니 플러스 DLC로 보게 하려는 수작",디즈니 플러스 완다비전 왓이프를 보지 않고선 극장판만으로는 세계관 이해하기 힘들게 해놨네 마블이 디즈니 플러스 DLC로 보게 하려는 수작,디즈니 플러스 완다 비전 왓 이프를 보지 않고선 극장판만으로는 세계관 이해하기 힘들게 해놨네 마블이 디즈니 플러스 DLC로 보게 하려는 수작
부정,영화 끝나자마자 감독 필모그래피찾아봤는데 아니나다를까 '그'장르.... 그동안의 닥터스트레인지 시리즈물이 한순간에 나락가는 영화.감독의 성향이 얼마나 중요한지 절실히 느낌,영화 끝나자마자 감독 필모그래피찾아봤는데 아니나다를까 그 장르 그동안의 닥터스트레인지 시리즈물이 한순간에 나락가는 영화 감독의 성향이 얼마나 중요한지 절실히 느낌,영화 끝나자마자 감독 필모그래피 찾아봤는데 아니나 다를까 그 장르 그동안의 닥터 스트레인지 시리즈물이 한순간에 나락 가는 영화감독의 성향이 얼마나 중요한지 절실히 느낌
부정,영화를 보려고 왔는데 디즈니 플러스 드라마 보고 왔는지 안왔는지 숙제검사받으러 온것 같아요,영화를 보려고 왔는데 디즈니 플러스 드라마 보고 왔는지 안왔는지 숙제검사받으러 온것 같아요,영화를 보려고 왔는데 디즈니 플러스 드라마 보고 왔는지 안 왔는지 숙제검사받으러 온 것 같아요
부정,킬링으론 좋으나... 고어함에 눈 질끈감은게 5번? 무서운연출은 호불호 갈릴텐데 난 불호. 한국식 신파연출도 좀 있음. 봤던 마블영화 중 일단 제일 최악,킬링으론 좋으나 고어함에 눈 질끈감은게 5번 무서운연출은 호불호 갈릴텐데 난 불호 한국식 신파연출도 좀 있음 봤던 마블영화 중 일단 제일 최악,킬링으론 좋으나 고려함에 눈 질끈 감은 게 5번 무서운 연출은 호불호 갈릴 텐데 난 불호 한국식 신파 연출도 좀 있으면 봤던 마블 영화 중 일단 제일 최악
부정,이터널스부터 먼가 이상하더니만….. Good bye marvel,이터널스부터 먼가 이상하더니만 Good bye marvel,이 터 널스부터 먼가 이상하더니만 Good bye marvel
부정,초반 문어한테 닥스랑 웡이 2ㄷ1로 쳐발리는거 보고 할 말을 잃었다,초반 문어한테 닥스랑 웡이 2 1로 쳐발리는거 보고 할 말을 잃었다,초반 문어한테 닥스랑 웡이 2 1로 쳐 발리는 거 보고할 말을 잃었다
부정,음 실몽작 시간이 지루함니다,음 실몽작 시간이 지루함니다,음 실 모아 작 시간이 지루합니다
부정,짬뽕대잔치~신선한게 1도없는 짬뽕영화,짬뽕대잔치 신선한게 1도없는 짬뽕영화,짬뽕 대잔치 신선한 게 1도 없는 짬뽕 영화
부정,"솔직히 별점 높게 주기는 힘든 것 같아요. 배우들 연기도 좋고, 멀티버스의 각종 새로운 컨셉 등도 재미있으나... 각본이 많이 아쉽고, 기대한 장르적 특성보다는 B급 코미디 영화 같아서 아쉬웠습니다. 작업 환경이 많이 안 좋아서 각본가와 감독 모두 완성하기까지 고생했다고 하는데, 영화에서 그게 보이더라고요. 완성도는 아쉬워요.",솔직히 별점 높게 주기는 힘든 것 같아요 배우들 연기도 좋고 멀티버스의 각종 새로운 컨셉 등도 재미있으나 각본이 많이 아쉽고 기대한 장르적 특성보다는 B급 코미디 영화 같아서 아쉬웠습니다 작업 환경이 많이 안 좋아서 각본가와 감독 모두 완성하기까지 고생했다고 하는데 영화에서 그게 보이더라고요 완성도는 아쉬워요,솔직히 별점 높게 주기는 힘든 것 같아요 배우들 연기도 좋고 멀티버스의 각종 새로운 콘셉트 등도 재미있으나 각본이 많이 아쉽고 기대한 장르적 특성보다는 B급 코미디 영화 같아서 아쉬웠습니다 작업 환경이 많이 안 좋아서 각본가와 감독 모두 완성하기까지 고생했다고 하는데 영화에서 그게 보이더라고요 완성도는 아쉬워요
부정,이런 쓰레기 짬뽕같은 영화를 추천한 평점 알바 .. 저주한다....다시는 마블 영화를 보지않겠다.,이런 쓰레기 짬뽕같은 영화를 추천한 평점 알바 저주한다 다시는 마블 영화를 보지않겠다,이런 쓰레기 짬뽕 같은 영화를 추천한 평점 알바 저주한다 다시는 마블 영화를 보지 않겠다
