분류,긍정리뷰,cleaned_text,spell_check
긍정,"닥터수트핏, 음표마법 멋있다♡",닥터수트핏 음표마법 멋있다 ,닥터수트핏 음표 마법 멋있다 
긍정,재밌다아주재미있다아,재밌다아주재미있다아,재밌다 아주 재미있다아
긍정,재미있었습니다. 최고였어요,재미있었습니다 최고였어요,재미있었습니다 최고였어요
긍정,지금까지랑 다른느낌의 마블이어서 새로웠음보는내내 지루할 틈을 안주는게 내 취향에 맞았음,지금까지랑 다른느낌의 마블이어서 새로웠음보는내내 지루할 틈을 안주는게 내 취향에 맞았음,지금까지 링 다른 느낌의 마블이어서 새로웠으면 보는 내내 지루할 틈을 안 주는 게 내 취향에 맞았음
긍정,마블 팬이라면 눈물 흘릴 것.완다 살려내ㅜㅜ,마블 팬이라면 눈물 흘릴 것 완다 살려내 ,마블 팬이라면 눈물 흘릴 것 완다 살려내 
긍정,그냥 겁나 재밋는데 억지로 억까하네 ㅋㅋㅋ,그냥 겁나 재밋는데 억지로 억까하네 ,그냥 겁나 재밌는데 억지로 얼까 하네
긍정,진작 만들었어야하는 마블 영화!,진작 만들었어야하는 마블 영화 ,진작 만들었어야 하는 마블 영화 
긍정,완다비전보고 봤으면 더 이해하기 쉽고 좋았을걸 하는 아쉬움. 15년만에 샘 레이미 감독 영화를 극장에서 다시보다니 나에겐 진짜 크나큰 영광이자 큰 감동과 전율을 느꼈다 ㅋㅋ 개인적으로 스파이더맨3나 베놈2보다 훨씬 재밌음. 그리고 사람마다 호불호 크게 갈리던데 나는 다크 호러영화를 원래 좋아해서 엄청재밌게봤음. 엔딩 크레딧 끝나고 쿠키영상 첫번째만 보면됨 ㅋㅋ 닥터 스트레인지3도 어떻게 나올지 기대하는중.,완다비전보고 봤으면 더 이해하기 쉽고 좋았을걸 하는 아쉬움 15년만에 샘 레이미 감독 영화를 극장에서 다시보다니 나에겐 진짜 크나큰 영광이자 큰 감동과 전율을 느꼈다 개인적으로 스파이더맨3나 베놈2보다 훨씬 재밌음 그리고 사람마다 호불호 크게 갈리던데 나는 다크 호러영화를 원래 좋아해서 엄청재밌게봤음 엔딩 크레딧 끝나고 쿠키영상 첫번째만 보면됨 닥터 스트레인지3도 어떻게 나올지 기대하는중,완다 비전 보고 봤으면 더 이해하기 쉽고 좋았을걸 하는 아쉬움 15년 만에 샘 레이미 감독 영화를 극장에서 다시 보다니 나에겐 진짜 크나큰 영광이자 큰 감동과 전율을 느꼈다 개인적으로 스파이더맨 3나 베놈 2보다 훨씬 재밌음 그리고 사람마다 호불호 크게 갈리던데 나는 다크 호러 영화를 원래 좋아해서 엄청 재밌게 봤음 엔딩 크레디트 끝나고 쿠키영상 첫 번째만 보면 됨 닥터 스트레인지 3도 어떻게 나올지 기대하는 중
긍정,"연출이 생각보다 대단했다. 특히 음표로 공격하는 건 웃겼는데 한편으로는 어떻게 저런 생각을 했는지 놀라웠다. 배우들의 연기도 괜찮았는데, 옛날 마블을 보던 사람들은 추억이 돋을 수도 있음. 근데 아쉬운 건 완다가 악역이었다는 거...",연출이 생각보다 대단했다 특히 음표로 공격하는 건 웃겼는데 한편으로는 어떻게 저런 생각을 했는지 놀라웠다 배우들의 연기도 괜찮았는데 옛날 마블을 보던 사람들은 추억이 돋을 수도 있음 근데 아쉬운 건 완다가 악역이었다는 거,연출이 생각보다 대단했다 특히 음표로 공격하는 건 웃겼는데 한편으로는 어떻게 저런 생각을 했는지 놀라웠다 배우들의 연기도 괜찮았는데 옛날 마블을 보던 사람들은 추억이 돋을 수도 있음 근데 아쉬운 건 완다가 악역이었다는 거
긍정,평점은 최대10까지 등록가능합니다,평점은 최대10까지 등록가능합니다,평점은 최대 10까지 등록 가능합니다
긍정,개봉한날 보고 왔는데 재밌게 봤음진지충색기들 졸라 영화까는데 무시하셈음표 빵터짐ㅋ,개봉한날 보고 왔는데 재밌게 봤음진지충색기들 졸라 영화까는데 무시하셈음표 빵터짐 ,개봉한 날 보고 왔는데 재밌게 봤음진지충색기들 졸라 영화 까는데 무시하세요 음표 빵 터짐
긍정,재밌게 봤어요 잔인하고 무서운 연출도 있어서 12세 이용가는 아닌 것 같지만 베네딕트 최고야..닥스 최애!,재밌게 봤어요 잔인하고 무서운 연출도 있어서 12세 이용가는 아닌 것 같지만 베네딕트 최고야 닥스 최애 ,재밌게 봤어요 잔인하고 무서운 연출도 있어서 12세 이용가는 아닌 것 같지만 베네딕트 최고야 닥스 최애 
긍정,혼돈의 유니버스. 파생되는 다른 스토리도 궁금합니다.,혼돈의 유니버스 파생되는 다른 스토리도 궁금합니다,혼돈의 유니버스 파생되는 다른 스토리도 궁금합니다
긍정,아이들에 대한 사랑이 느껴졌어요ㅠ,아이들에 대한 사랑이 느껴졌어요 ,아이들에 대한 사랑이 느껴졌어요 
긍정,개봉 첫 날 스릴넘치고 재밌게 봤어요. 두번째 쿠키영상은 낚시라 첫번째만 보고 일어나시길~,개봉 첫 날 스릴넘치고 재밌게 봤어요 두번째 쿠키영상은 낚시라 첫번째만 보고 일어나시길 ,개봉 첫날 스릴 넘치고 재밌게 봤어요 두 번째 쿠키영상은 낚시라 첫 번째만 보고 일어나시길 
긍정,공포영화무서웠다,공포영화무서웠다,공포영화 무서웠다
긍정,"전작보다 더 재미있고, 후속편도 기대되네요~",전작보다 더 재미있고 후속편도 기대되네요 ,전작보다 더 재미있고 후속편도 기대되네요 
긍정,애초에 스토리가 재밌는듯,애초에 스토리가 재밌는듯,애초에 스토리가 재밌는 듯
긍정,마블의 진화 초입단계 다음 빌런은.닥스?,마블의 진화 초입단계 다음 빌런은 닥스 ,마블의 진화 초입 단계 다음 빌런은 닥스 
긍정,역시 마블이라고 말하게 되는 영화,역시 마블이라고 말하게 되는 영화,역시 마블이라고 말하게 되는 영화
긍정,마블의 또다른 진화!,마블의 또다른 진화 ,마블의 또 다른 진화 
긍정,완다비전 정주행 한 날 보면 완다한테 과몰입해서 볼 수 있음ㅠㅡㅠ,완다비전 정주행 한 날 보면 완다한테 과몰입해서 볼 수 있음 ,완다 비전 정주행 한 날 보면 완다한테 과몰입해서 볼 수 있음 
긍정,너무 기대하고 봐서 기대만큼은 아니지만 그래도 재밌어요 !!!,너무 기대하고 봐서 기대만큼은 아니지만 그래도 재밌어요 ,너무 기대하고 봐서 기대만큼은 아니지만 그래도 재밌어요 
긍정,난 되게 재밌게봤는데 평점이낮아서 10점준다,난 되게 재밌게봤는데 평점이낮아서 10점준다,난 되게 재밌게 봤는데 평점이 낮아서 10점 준다
긍정,히힛 살양해용??재미떠요??,히힛 살양해용 재미떠요 ,히힛 살 양해용 재미 떠요
긍정,재밌었다 좀비물과 호러물 약간 가미된듯 재밌었다ㅋㅋㅋㅋ,재밌었다 좀비물과 호러물 약간 가미된듯 재밌었다 ,재밌었다 좀비물과 호러물 약간 가미된 듯 재밌었다 
긍정,"확실히 호불호가 갈릴만한 영화라고 생각이 든게 1점 주는분들은 기존에 샘레이미가 어떤 감독인지, 샘레이미 감독의 호러영화를 접해보지 못했거나, 접했더라도 샘레이미 특유의 연출스타일을 별로 좋아하지 않는사람이라면 싫어할 수도 있겠구나 싶었음. 샘레이미 특유의 고어틱한 연출을 12세 관람가에 녹이려다보니 최대한 자제해서 연출한게 이정도지 이블데드, 드래그미투헬 등 샘레이미의 색깔이 뚜렷이 나타나는 영화를 한 번이라도 봤다면 이걸 보고 왜 12세관람가인지 모르겠다는 말은 안나올듯. 개인적으론 샘레이미의 팬이고 샘레이미의 호러영화를 좋아하는 사람으로써 마블과 샘레이미의 만남은 대성공이었다",확실히 호불호가 갈릴만한 영화라고 생각이 든게 1점 주는분들은 기존에 샘레이미가 어떤 감독인지 샘레이미 감독의 호러영화를 접해보지 못했거나 접했더라도 샘레이미 특유의 연출스타일을 별로 좋아하지 않는사람이라면 싫어할 수도 있겠구나 싶었음 샘레이미 특유의 고어틱한 연출을 12세 관람가에 녹이려다보니 최대한 자제해서 연출한게 이정도지 이블데드 드래그미투헬 등 샘레이미의 색깔이 뚜렷이 나타나는 영화를 한 번이라도 봤다면 이걸 보고 왜 12세관람가인지 모르겠다는 말은 안나올듯 개인적으론 샘레이미의 팬이고 샘레이미의 호러영화를 좋아하는 사람으로써 마블과 샘레이미의 만남은 대성공이었다,확실히 호불호가 갈릴만한 영화라고 생각이 든 게 1점 주는 분들은 기존에 샘 레이미가 어떤 감독인지 샘 레이미 감독의 호러 영화를 접해보지 못했거나 접했더라도 샘 레이미 특유의 연출 스타일을 별로 좋아하지 않는 사람이라면 싫어할 수도 있겠구나 싶었음 샘 레이미 특유의 고어틱한 연출을 12세 관람가에 녹이려다 보니 최대한 자제해서 연출한 게 이 정도지 이블 데드 드래그 미 투헬 등 샘 레이미의 색깔이 뚜렷이 나타나는 영화를 한 번이라도 봤다면 이걸 보고 왜 12세 관람가인지 모르겠다는 말은 안 나올 듯 개인적으론 샘 레이미의 팬이고 샘 레이미의 호러 영화를 좋아하는 사람으로서 마블과 샘 레이미의 만남은 대성공이었다
긍정,"진심 대존잼,, 또 보고싶다ㅜㅡㅜ",진심 대존잼 또 보고싶다 ,진심 대전 잼 또 보고 싶다
긍정,1이 재미없어서 기대안했는데 너무재밌네요,1이 재미없어서 기대안했는데 너무재밌네요,1이 재미없어서 기대 안 했는데 너무 재밌네요
긍정,정말 영화 부제처럼 대혼돈의 멀티버스였음ㅋㅋㅋ왜 공포영화같다고 한지 리뷰가 이해가 감ㅋㅋㅋ 갑자기 등장한 ‘아메리카’이란 인물에 대한 배경설명이 좀 부족했지 않나 싶음 그리고 너무 오랜만(6년만)이라 1탄 내용 기억이 흐릿해서 이해 안간부분도 있지만 그래도 그냥저냥 지루하지 않게 잘 본듯,정말 영화 부제처럼 대혼돈의 멀티버스였음 왜 공포영화같다고 한지 리뷰가 이해가 감 갑자기 등장한 아메리카 이란 인물에 대한 배경설명이 좀 부족했지 않나 싶음 그리고 너무 오랜만 6년만 이라 1탄 내용 기억이 흐릿해서 이해 안간부분도 있지만 그래도 그냥저냥 지루하지 않게 잘 본듯,정말 영화 부제처럼 대혼돈의 멀티버스였음 왜 공포영화 같다고 한지 리뷰가 이해가 감 갑자기 등장한 아메리카 이란 인물에 대한 배경 설명이 좀 부족했지 않나 싶음 그리고 너무 오랜만 6년 만이라 1탄 내용 기억이 흐릿해서 이해 안 간 부분도 있지만 그래도 그냥저냥 지루하지 않게 잘 본 듯
긍정,이정도면 노웨이홈에 견줄만한데요? 살짝 가미된 호러연출 또한 이색적이고 신선했습니다. 아 참고로 쿠키 영상 두개입니다 꼭보세여!!,이정도면 노웨이홈에 견줄만한데요 살짝 가미된 호러연출 또한 이색적이고 신선했습니다 아 참고로 쿠키 영상 두개입니다 꼭보세여 ,이 정도면 노 웨이 홈에 견줄만한데요 살짝 가미된 호러 연출 또한 이색적이고 신선했습니다 아 참고로 쿠키 영상 두 개입니다 꼭 보세여
긍정,완다는 언제쯤 행복해질까요 .. 나중에라도 행복한완다 영화 만들어주세요 제발 ㅠㅜ,완다는 언제쯤 행복해질까요 나중에라도 행복한완다 영화 만들어주세요 제발 ,완다는 언제쯤 행복해질까요 나중에라도 행복한 완다 영화 만들어주세요 제발 
긍정,첫빠따에 나오는 눈깔괴물의 CG 너무 실감나고 멋있어요! ^^* 완다비전 로키 왓이프 다 봤는데도 좀 완다의 감정이 이해는안가지만 뭐어때용 ㅎ 멀티버스로 버무러지는 개쩌는 각본!!캡틴카터랑 매그니토의 존멋 등장~~^^!! 화려하게 가지각색 모습으로 죽는 모습이 너무나 멋있었고~음표전투~~~ 와 너무 박진감이 넘치고 최고의 장면이에요. ^^*좀비로 변신!!하는것도 너무 즐거웠네요 ^^^& 천진반으로 각성하는 모습도 최고입니다. 꼭보세요 후회가없네요^^,첫빠따에 나오는 눈깔괴물의 CG 너무 실감나고 멋있어요 완다비전 로키 왓이프 다 봤는데도 좀 완다의 감정이 이해는안가지만 뭐어때용 멀티버스로 버무러지는 개쩌는 각본 캡틴카터랑 매그니토의 존멋 등장 화려하게 가지각색 모습으로 죽는 모습이 너무나 멋있었고 음표전투 와 너무 박진감이 넘치고 최고의 장면이에요 좀비로 변신 하는것도 너무 즐거웠네요 천진반으로 각성하는 모습도 최고입니다 꼭보세요 후회가없네요 ,첫빠따에 나오는 눈깔 괴물의 CG 너무 실감 나고 멋있어요 완다 비전 로키 왓 이프 다 봤는데도 좀 완다의 감정이 이해는 안 가지만 뭐 어때요 멀티버스로 버무려지는 개쩌는 각본 캡틴 카터랑 매그니토의 존멋 등장 화려하게 가지각색 모습으로 죽는 모습이 너무나 멋있었고 음표 전투 와 너무 박진감이 넘치고 최고의 장면이에요 좀비로 변신하는 것도 너무 즐거웠네요 천지는 반으로 각성하는 모습도 최고입니다 꼭 보세요 후회가 없네요
긍정,나에겐 10점짜리 영화,나에겐 10점짜리 영화,나에겐 10점짜리 영화
긍정,멀티버스우주를 구현한 장면이 인상깊었다새로운 여주인공인 아메리카 차베즈의 연기도 놀라웠다.,멀티버스우주를 구현한 장면이 인상깊었다새로운 여주인공인 아메리카 차베즈의 연기도 놀라웠다,멀티버스 우주를 구현한 장면이 인상 깊었다 새로운 여주인공인 아메리카 차베스의 연기도 놀라웠다
긍정,지루했던 스파이더맨 보다 훨 낫네 시간가는줄 모르고 봄,지루했던 스파이더맨 보다 훨 낫네 시간가는줄 모르고 봄,지루했던 스파이더맨 보다 훨씬 낫네 시간 가는 줄 모르고 봄
긍정,갑툭튀 제3의 눈 금쪽이 완다,갑툭튀 제3의 눈 금쪽이 완다,갑툭튀 제3의 눈 금 쪽이 완다
긍정,일단 영화보기전에 완다비전을 따로보고 오시는것을 추천드립니다. 안그럼 마블 세계관이 갑자기 왜이렇게 됐는지 이해못하고 저평가 되기 십상인 영화. 역시 마블영화는 영화관가서봐야 제맛영상미도 훌륭하고 베네딕트는 역시 연기가 맛있다 보기전에 먼저본 지인들이 공포영화 같다고 했었는데 무슨 얘기인지 이해가 간다 전체적으로 스토리도 박살나지 않은 선에서 재밌게봤습니다 쿠키영상 두번째 까지 기다린다면 허무와 어이없음에 대한 헛웃음이 나옵니다,일단 영화보기전에 완다비전을 따로보고 오시는것을 추천드립니다 안그럼 마블 세계관이 갑자기 왜이렇게 됐는지 이해못하고 저평가 되기 십상인 영화 역시 마블영화는 영화관가서봐야 제맛영상미도 훌륭하고 베네딕트는 역시 연기가 맛있다 보기전에 먼저본 지인들이 공포영화 같다고 했었는데 무슨 얘기인지 이해가 간다 전체적으로 스토리도 박살나지 않은 선에서 재밌게봤습니다 쿠키영상 두번째 까지 기다린다면 허무와 어이없음에 대한 헛웃음이 나옵니다,일단 영화 보기 전에 완다 비전을 따로 보고 오시는 것을 추천드립니다 안 그럼 마블 세계관이 갑자기 왜 이렇게 됐는지 이해 못 하고 저평가 되기 십상인 영화 역시 마블 영화는 영화관 가서 봐야 제맛 영상미도 훌륭하고 베네딕트는 역시 연기가 맛있다 보기 전에 먼저 본 지인들이 공포영화 같다고 했었는데 무슨 얘기인지 이해가 간다 전체적으로 스토리도 박살 나지 않은 선에서 재밌게 봤습니다 쿠키영상 두 번째까지 기다린다면 허무와 어이없음에 대한 헛웃음이 나옵니다
긍정,우리 완다 멀티버스 가게 좀 냅두라고 닥스야 ㅜ,우리 완다 멀티버스 가게 좀 냅두라고 닥스야 ,우리 완다 멀티버스 가게 좀 내버려 두라고 닥스야 
긍정,전 나름 감동도 받고 재밌게 잘 봤어요~몇군데 살짝 유치한감도 있었지만 설정이 신박했다고하나?좀 동양적이고 신비로운 느낌도 들고 나름 괜찮았어요^^,전 나름 감동도 받고 재밌게 잘 봤어요 몇군데 살짝 유치한감도 있었지만 설정이 신박했다고하나 좀 동양적이고 신비로운 느낌도 들고 나름 괜찮았어요 ,전 나름 감동도 받고 재밌게 잘 봤어요 몇 군데 살짝 유치한 감도 있었지만 설정이 긴박했다고 하나 좀 동양적이고 신비로운 느낌도 들고 나름 괜찮았어요 
긍정,전 개인적으로 재밌게 봤었습니다ㅎ! 기대에 못 미친건 맞지만 연출 만큼은 멋있었다고 생각합니다 특히 전 음표 난리는거 연출 좋았어요!,전 개인적으로 재밌게 봤었습니다 기대에 못 미친건 맞지만 연출 만큼은 멋있었다고 생각합니다 특히 전 음표 난리는거 연출 좋았어요 ,전 개인적으로 재밌게 봤었습니다 기대에 못 미친 건 맞지만 연출만큼은 멋있었다고 생각합니다 특히 전 음표 난리는 거 연출 좋았어요 
긍정,저는 진짜 재밌게 봤어요 감정선도 좋고 ㅎㅎㅎ,저는 진짜 재밌게 봤어요 감정선도 좋고 ,저는 진짜 재밌게 봤어요 감정선도 좋고 
긍정,오랜만에 재밌게본영화!,오랜만에 재밌게본영화 ,오랜만에 재밌게 본 영화
긍정,세번 볼 의향이 있습니다.,세번 볼 의향이 있습니다,세 번 볼 의향이 있습니다
긍정,호러영화노 게무섭다.,호러영화노 게무섭다,호러 영화 노 게 무섭다
긍정,"""늘 사랑으로 키울게""", 늘 사랑으로 키울게 , 늘 사랑으로 키울게 
긍정,마블은 언제나 마블한다...전혀 생각지 못한 세계를 보여주는 마블 제작진은 대체 어떤 사람들 인가??또 언젠가 나도 그곳에 있길 !,마블은 언제나 마블한다 전혀 생각지 못한 세계를 보여주는 마블 제작진은 대체 어떤 사람들 인가 또 언젠가 나도 그곳에 있길 ,마블은 언제나 마블 한다 전혀 생각지 못한 세계를 보여주는 마블 제작진은 대체 어떤 사람들 인가 또 언젠가 나도 그곳에 있길 
긍정,디즈니가 호러를 선택할줄몰랐네. 90년대 가벼운 스타일 호러완전 취양저격이다,디즈니가 호러를 선택할줄몰랐네 90년대 가벼운 스타일 호러완전 취양저격이다,디즈니가 호러를 선택할 줄 몰랐네 90년대 가벼운 스타일 호러 완전 취향 저격이다
긍정,샘레이미 감독 특유의 연출 너무 좋았습니다기존 마블영화들을 기대하고 보신분들은 호불호가 갈릴수 있을것같네요,샘레이미 감독 특유의 연출 너무 좋았습니다기존 마블영화들을 기대하고 보신분들은 호불호가 갈릴수 있을것같네요,샘 레이미 감독 특유의 연출 너무 좋았습니다 기존 마블 영화들을 기대하고 보신 분들은 호불호가 갈릴 수 있을 것 같네요
긍정,진짜재밌음 두번봄 완다너무예뻐…,진짜재밌음 두번봄 완다너무예뻐 ,진짜 재밌음 두 번 봄 완다 너무 예뻐
긍정,기대한것보다 재미있음. 평점 7점은 너무 낮아서 10점 줌,기대한것보다 재미있음 평점 7점은 너무 낮아서 10점 줌,기대한 것보다 재미있음 평점 7점은 너무 낮아서 10점 줌
긍정,이건 마블 평소에 관심없으면 좀 유치해보일수도 있는데 마블 좋아하는 사람 입장으로는 너무 재밌었음,이건 마블 평소에 관심없으면 좀 유치해보일수도 있는데 마블 좋아하는 사람 입장으로는 너무 재밌었음,이건 마블 평소에 관심 없으면 좀 유치해 보일 수도 있는데 마블 좋아하는 사람 입장으로는 너무 재밌었음
긍정,큰 반전은 없지만 볼 만 하고 재밌어요!,큰 반전은 없지만 볼 만 하고 재밌어요 ,큰 반전은 없지만 볼 만하고 재밌어요 
긍정,다시 만들어지는 하나 하나의 연결고리들정말 재미있어요,다시 만들어지는 하나 하나의 연결고리들정말 재미있어요,다시 만들어지는 하나하나의 연결고리들 정말 재미있어요
긍정,개존잼..지금까지 마블영화랑 다르고 신선하다감독의 고뇌가 느껴지는 작품,개존잼 지금까지 마블영화랑 다르고 신선하다감독의 고뇌가 느껴지는 작품,기존 잼 지금까지 마블 영화랑 다르고 신선하다 감독의 고뇌가 느껴지는 작품
긍정,스포 있으니 주의하세요 모든 등장인물이 난 행복하다 했지만 불행했던 영화ㅜㅜ 특히 완다 너무 불쌍했음.. 이 순간에도 공부로든 폭력으로든 아동학대하는 엄마들이 봐야하는 영화라고 생각함. 완다는 뛰어난 외모와 강력한 초능력까지 지녔는데도 결국 자식들을 갖지 못했음ㅜㅜ 마지막에 아이들이 스칼렛위치가 된 완다에게 자기 엄마 해치지 말라했을때 눈물 찔끔했다.. 불쌍한 완다. 그리고 본인의 숙명때문에 사랑하는 여성과 끝내 이어지지 못했던 닥터 스트레인지도 너무 불쌍했던 히어로영화를 가장한 비극영화ㅜㅜ,스포 있으니 주의하세요 모든 등장인물이 난 행복하다 했지만 불행했던 영화 특히 완다 너무 불쌍했음 이 순간에도 공부로든 폭력으로든 아동학대하는 엄마들이 봐야하는 영화라고 생각함 완다는 뛰어난 외모와 강력한 초능력까지 지녔는데도 결국 자식들을 갖지 못했음 마지막에 아이들이 스칼렛위치가 된 완다에게 자기 엄마 해치지 말라했을때 눈물 찔끔했다 불쌍한 완다 그리고 본인의 숙명때문에 사랑하는 여성과 끝내 이어지지 못했던 닥터 스트레인지도 너무 불쌍했던 히어로영화를 가장한 비극영화 ,스포 있으니 주의하세요 모든 등장인물이 난 행복하다 했지만 불행했던 영화 특히 완다 너무 불쌍했음 이 순간에도 공부로든 폭력으로든 아동학대하는 엄마들이 봐야 하는 영화라고 생각함 완다는 뛰어난 외모와 강력한 초능력까지 지녔는데도 결국 자식들을 갖지 못했음 마지막에 아이들이 스칼렛 위치가 된 완다에게 자기 엄마 해치지 말라 했을 때 눈물 찔끔했다 불쌍한 완다 그리고 본인의 숙명 때문에 사랑하는 여성과 끝내 이어지지 못했던 닥터 스트레인지도 너무 불쌍했던 히어로 영화를 가장한 비극영화 
긍정,완다비전부터인가?!? 왜 완다에게만 잔혹한가요?!?,완다비전부터인가 왜 완다에게만 잔혹한가요 ,와는 다비 전부터 인가 왜 완다에게만 잔혹한가요 
긍정,마블 시리즈중에 젤 재밋었다,마블 시리즈중에 젤 재밋었다,마블 시리즈 중에 젤 재밌었다
긍정,닥스 팬이자 완다 팬으로써 너무너무 재미있었고 개인적으로 완다비전에 몰입된 상태여서 완다의 슬픔에 공감하면서 재밌게 봄,닥스 팬이자 완다 팬으로써 너무너무 재미있었고 개인적으로 완다비전에 몰입된 상태여서 완다의 슬픔에 공감하면서 재밌게 봄,닥스 팬이자 완다 팬으로서 너무너무 재미있었고 개인적으로 완다 비전에 몰입된 상태여서 완다의 슬픔에 공감하면서 재밌게 봄
긍정,진짜 오랜만에 본 마블영화가 이거여서 다행이다,진짜 오랜만에 본 마블영화가 이거여서 다행이다,진짜 오랜만에 본 마블 영화가 이거여서 다행이다
긍정,볼거리가 많아서 재밌었다,볼거리가 많아서 재밌었다,볼거리가 많아서 재밌었다
긍정,마블영화 팬으로써 진짜 잼썼습니다. 2번이나 봤어요.,마블영화 팬으로써 진짜 잼썼습니다 2번이나 봤어요,마블 영화 팬으로서 진짜 잼 썼습니다 2번이나 봤어요
긍정,좋아하는 장르라서 그런가 정말 좋았음,좋아하는 장르라서 그런가 정말 좋았음,좋아하는 장르라서 그런가 정말 좋았음
긍정,눈이 재밌음… 닥스 얼굴도 재밌음,눈이 재밌음 닥스 얼굴도 재밌음,눈이 재밌음 닥스 얼굴도 재밌음
긍정,"2시간이 정신없이 지나가서 끝나고 뇌가 정신없어서 정리가 안되고 오히려 멍한 느낌..너무 재밌다만 100번 말함 ㅎㅎㅎ스칼렛위치 연기 너무 잘하네.내 최애 닥스에서 스칼렛위치로 바꿀지도..모성애 연기 정말 감동♡연출, 창의력 대박!!",2시간이 정신없이 지나가서 끝나고 뇌가 정신없어서 정리가 안되고 오히려 멍한 느낌 너무 재밌다만 100번 말함 스칼렛위치 연기 너무 잘하네 내 최애 닥스에서 스칼렛위치로 바꿀지도 모성애 연기 정말 감동 연출 창의력 대박 ,2시간이 정신없이 지나가서 끝나고 뇌가 정신없어서 정리가 안되고 오히려 멍한 느낌 너무 재밌다만 100번 말함 스칼렛 위치 연기 너무 잘하네 내 최애 닥스에서 스칼렛 위치로 바꿀지도 모성애 연기 정말 감동 연출 창의력 대박 
긍정,마블 영화를 좋아하는 저로써는 완전 꿀잼!! 살짝 공포영화를 보는건가 싶은 장면도 있지만 ㅋㅋ,마블 영화를 좋아하는 저로써는 완전 꿀잼 살짝 공포영화를 보는건가 싶은 장면도 있지만 ,마블 영화를 좋아하는 저로서는 완전 꿀 잼 살짝 공포영화를 보는 건가 싶은 장면도 있지만 
긍정,기괴하고 재미있음. 새로운 주인공 출연,기괴하고 재미있음 새로운 주인공 출연,기괴하고 재미있으면 새로운 주인공 출연
긍정,세계관의 확장과 공포를 섞을 때의 재미,세계관의 확장과 공포를 섞을 때의 재미,세계관의 확장과 공포를 섞을 때의 재미
긍정,너무 재밌고 다음 편이 기대되요~~,너무 재밌고 다음 편이 기대되요 ,너무 재밌고 다음 편이 기대돼요
긍정,완다비전 보고 안 보고의 차이가 확실히 날 것 같다. 완다의 감정선을 이해하기 위해서라도 추천!,완다비전 보고 안 보고의 차이가 확실히 날 것 같다 완다의 감정선을 이해하기 위해서라도 추천 ,완다 비전 보고 안 보고의 차이가 확실히 날 것 같다 완다의 감정선을 이해하기 위해서라도 추천 
긍정,아들들이랑 잼나게 잘 봣습니다ㅋ,아들들이랑 잼나게 잘 봣습니다 ,아들들이랑 재미나게 잘 봤습니다
긍정,"우선 마블에 대한 이해도가 적으면 개노잼임 여기서 나오는 완다라는 인물에 대한 정보가 없으면 얘가 왜 빌런이 됐는지도 모르니까 왜 싸우는지 몰라서 개노잼일 수 밖에,,, 완다비전, 닥스1, 엔드게임 보고 보면 존ㄴ 재밌음 마블 개ㅆ덕후로써 이게 왜 노잼인지 모르겠음저처럼 마블에 대한 이해도 높고 그러면 개꿀잼입니당!!!!",우선 마블에 대한 이해도가 적으면 개노잼임 여기서 나오는 완다라는 인물에 대한 정보가 없으면 얘가 왜 빌런이 됐는지도 모르니까 왜 싸우는지 몰라서 개노잼일 수 밖에 완다비전 닥스1 엔드게임 보고 보면 존 재밌음 마블 개 덕후로써 이게 왜 노잼인지 모르겠음저처럼 마블에 대한 이해도 높고 그러면 개꿀잼입니당 ,우선 마블에 대한 이해도가 적으면 개나 잼임 여기서 나오는 완다라는 인물에 대한 정보가 없으면 얘가 왜 빌런이 됐는지도 모르니까 왜 싸우는지 몰라서 개노잼일 수밖에 완다 비전 닥스 1 엔드게임 보고 보면 존 재밌음 마블 개 덕후로써 이게 왜 나 잼인지 모르겠음에 저처럼 마블에 대한 이해도 높고 그러면 개 꿀 잼입니다
긍정,마지막 쿠키는 꼭 보세요,마지막 쿠키는 꼭 보세요,마지막 쿠키는 꼭 보세요
긍정,그냥 눈뽕 좋음,그냥 눈뽕 좋음,그냥 눈뽕 좋음
긍정,기대 안하고 봤는데 너무 재밌게 봤음! 그리고 완다 너무 이쁘다,기대 안하고 봤는데 너무 재밌게 봤음 그리고 완다 너무 이쁘다,기대 안 하고 봤는데 너무 재밌게 봤음 그리고 완다 너무 이쁘다
긍정,기대를 낮추고 스토리 공부를 하고가서 보셔요,기대를 낮추고 스토리 공부를 하고가서 보셔요,기대를 낮추고 스토리 공부를 하고 가서 보셔요
긍정,와 진짜 짱입니다.추천,와 진짜 짱입니다 추천,와 진짜 짱입니다 추천
긍정,마블영화는 별 10개 무조건,마블영화는 별 10개 무조건,마블 영화는 별 10개 무조건
긍정,마블 영화 안 좋아하는 사람인데 진짜 재밌음,마블 영화 안 좋아하는 사람인데 진짜 재밌음,마블 영화 안 좋아하는 사람인데 진짜 재밌음
긍정,재밌게 잘 봤습니다.,재밌게 잘 봤습니다,재밌게 잘 봤습니다
긍정,완다비전 안보면 완다가 왜 저러는지 이해못할듯,완다비전 안보면 완다가 왜 저러는지 이해못할듯,완다 비전 안 보면 완다가 왜 저러는지 이해 못 할 듯
긍정,굉장히 재미있었어요.,굉장히 재미있었어요,굉장히 재미있었어요
