분류,spell_check
1,완다 비전 안 봐도 스파이더맨 봤거나 기존 마블 세계관 타파하고 있으면 충분히 이해 가는 스토리임 평점 낮길래 기대 안 하고 봤는데 기대 십 이상임 완다 연기 미쳐
1,닥터 스트레인지 곧 치도리 연마하겠네
1,아들이 마블 좋아해서 선물로 같이 잘 봤어요 4D 재미있었어요
1,난 좋더라 완다 
1,엥 난 정말 재밌었는데 영화에서 설명할 게 많아서 부족하다 싶은 부분도 있긴 있었으나 스토리 전개도 빠르고 난 매우 만족이었다 영상도 정말 화려하고 난 B급 호러 감성도 쫄깃하고 좋았다 
1,완다 레게는 존나 이쁘긴 하네 난 재밌게 봄
1,한 번 더 봐야지 후 이건 내용 1도 모르고 봐도 그냥 영상미가 너무 오져서 보는 내내 황홀함 닥스도 너무 섹시 개 좋아 너무 재밌어 짜릿해 음악도 미쳤어
1,디즈니 동성애 코드 좀 빼자
1,재밌는데 나는 근데 12세가 보기엔 잔인한 장면이 많다고 생각 드네요
1,어디서나 널 사랑할게 난 지금 이 세상에서 제일 행복해
1,남들 하도 재미없대 써 기대를 안 하고 봐서 그런지 아님 내가 유치해서 그런지 몰겠지만 꿀 잼이었음
1,겁나 재밌고 극장 가서 또 보고 싶음
1,완다가 행복했으면 좋겠다
1,너무 재밌게 봤어요
1,아메리카 차베스가 멀티버스 문 개방할 때마다 가슴이 웅장해짐
1,재미있네요 빅재미 보장
1,완다 비전 보는 것 안 보는 것 차이는 있습니다 하지만 이 작품을 만든 관계자조차 완다 비전을 정주행 안 하고 중요 장면만 보고 이 작품을 만들었다고 하니 완다 비전만 빼고 다 봤어도 솔직히 재미있게 볼 수 있습니다 확실한 건 호불호 취향 차이가 엄청날 것 같습니다 추후 마블 작품들이 어떤 방향으로 갈지에 대한 궁금증은 생깁니다
1,멀티버스의 다양성이 스토리를 더욱 다채롭게 했다
1,뮤직 스트레인지 이제부터 닥스를 개그의 아이콘 완다를 갑툭튀의 아이콘으로 임명합니다 쿵후 허슬도 생각나고 재미있게 봤습니다 마블과 호러의 컬래버레이션 정통 마블에 가까우면서 어떤 면에서는 새로웠던 닥스 2 마지막에는 완다가 좀 짠하네요
1,두 번째 쿠키영상이 지렸음
1,긴 모리 허경영 공중부양
1,Girls can do anything Mom is strong
1,근데 스파이더맨 존재 다 지웠다 하지 않았나 본인도 기억못할거라고했늣데
1,중간중간 깜짝 놀라는 장면이 있었지만 너무 재밌게 본 영화
1,정말 기대만큼 너무 재미있었어요 n 차 관람 가고 싶네요 닥스 넘나 매력적
1, 재밌기만 하고 만 나 잼인 사람 이 터 널스 보고 와라 근데 완다 이야기 모르면 이해가 하기 어려워서 나 잼일 수도 있겠더라 마블 팬이면 재밌게 볼 수 있음
1,역시 닥스 2시간 금방 갔음
1,너무너무 재밌어요 액션이랑 화려한 영상만으로도 10점 넘게 주고 싶어요 젤 좋아하는 닥스랑 스칼렛 위치가 둘 다 너 무 멋있게 나와버리니까 둘 다 연기 미쳤고 닥스 왜 이렇게 섹시하죠 자비에도 개 멋있고 웡이랑 크리스틴도 너무 좋아 크리스틴은 닥스 곁에 있어야 해
1,아니 이번 편 공포 영환가 진짜 중간중간 개 무섭네 진짜 공포영화 같아오 공감하는 사람 있을 거야
1,와 최고야 3번째 관람
1,마블의 세계관이 너무 커져서 나도 다 못 따라간 부분이 있구나를 크게 느낀 영화
1,닥터스트레인지개재밌댱
1,존나 재밌습니다 추천합니다
1,유튜브에서 완다 비전 이야기 보고 오면 재밌어요
1,스토리 구멍 없고 완다의 아픔과 광기를 공포스럽게 표현한 것도 신선하네요 음표 공격이 왜 욕먹는지 모르겠음 
1,누가 뭐래도 나한테는 최고 
1,정말 엄청난 영상미와 스토리입니다 닥스 1도 참 재미나게 봤는데 2는 세계관도 커지고 3가 기대되게 합니다 어서 빨리 제작되었으면 단 제가 너무 좋아하는 강려 코한 캐릭터가 빌런으로 다음 시리즈에서도 꼭 계속 나왔으면 하는 바람입니다 마블 팬이시라면 또 하나의 최고 영화 처음 접근하시는 분이라면 선행으로 몇 가지 보셔야 이해하기 좋을 거 같아요 디즈니 플러스 드라마인 완다 비전은 필수 닥스 1 인피니티 워 엔드게임 정도 
1,재밌는데 평점 왜 이래
1,음표 날리는 게 좀 유치했지만 그냥 그럭저럭 괜찮게 봤음
1,저는 어쩔 수 없는 마블 첫돌이 인가 봅니다 하도 후기가 안 좋길래 기대 안 하고 갔는데 너무 재밌게 봤음 명불허전 마블 근데 좀 응 하는 게 있긴 했어요
1,너무 재미있음 역시 마블
1,마블스러운 내용이라 재밌네요
1,굿굿여유얻어돋두더두둗두
1,두 번째 쿠키까지 꼭 보셔야 합니다 그래야 완성되는 영화 
1,평점 낮아서 걱정했는데 영상미가 끝내줌 재미있게 봄 샘 레이미 감독 그 특유의 느낌이 남 영화 마지막에서 드래그 미 투헬이 생각나더라 훈훈하다가 급반전
1,존잼 어나더 레벨 블록버스터 상상 그 이상의 액션 영화 꼭 아이맥스로 보시기를
1,디즈니 플러스에서 드라마 다 봐야 더 공감되고 미친 듯이 재밌어집니다 만약 안 보신 분들이라면 좀 뭐야 하는 느낌이 강할듯합니다
1,호불호가 갈릴 수 있지만 나는 좋았음 공포로 넣은 건지 코믹으로 넣은 건지 모르겠는 요소들은 그 나름대로 놀라고 또 재밌었으면 보는 중간중간 이게 마블이 만든 거 맞아 싶었지만 닥터 스트레인지는 1에서 그랬듯 색다른 게 매력임
1,너무 재밌어요 
1,샘 레이미만의 연출을 찾아보는 재미 화려한 CG 멀티버스라는 소재로 인한 추후 마블 작품의 기대
1,마블 아직 살아있네 
1,시리즈물이라 이해가 안 될 줄 알았는데 잘 됐고 전투신이 멋있었음
1,face your fearare you happy 
1,재밌고 또 다른 매력이 넘치는 영화였는데 자기 취향에 안 맞는다고 욕하는 건 좀 그러네요
1,주인공 두 배우의 연기가 눈부셨습니다 시간 순삭 
1,관련 시리즈 안 본 사람들은 낮게 평가하는 듯 완다 너무 불쌍해서 슬픔 여운 남는 영화
1,영상미 분위기 최고 기대 이상입니다
1,굿굿 마블 시리즈 다시 보고 싶어짐
1,신선한데 최근 마블 영화 중 가장 흥미롭게 봤음 호불호가 먛이 갈릴 것 같긴 한데 어정쩡하게 유치한 것보다 훨씬 좋았음 
1,영화 닥터 스트레인지가 크리스틴에게 하는 대사 완다가 완다에게 하는 대사 모두 날 울게 만들었다
1,기대했던 것보단 실망스럽지만 그래도 대체불가 8 5 주고 싶은데 없어서 9점
1,분위기가 공포 스릴러물 같은 느낌이 섞여 뭔가 괴상하게 무섭다 싶다가도 재밌었다 스티븐 웡 특히 완다 연기력 쌉인정끝에 울컥했네 요 근래 마블 중에는 제일 괜찮았다 완다야 행복해야 해
1,난 좋았는데 평점 생각보다 낮네
1,중간중간 긴장감 조성이랑 전투신이 흥미로웠고 재미있었던 것 같다
1,보는 내내 긴장되고 슬프고 답답하다가도 가슴이 뻥 뚫리고 제발 몇 년 뒤로 시간을 돌려서 다음 편 보고 싶네요
1,너무 재밌었습니다 강추
1,영화 다시 보면 아쉬움이 좀 보이는데 그냥 마블 믿을게요
1,스칼렛 위치 강하다
1,멍청한 사람들이 주는 멍청한 점수에 속지 말자
1,닥터가 완다 피해서 지하통로로 탈출할 때 천장에서 물 뚝뚝 떨어지는 장면에서 무서워가지고 심호흡하면서 기다렸음 엔간한 컨저링급 갑툭튀엿다 막판에 음표 전투 사람들 유치하다고 하긴 하는데 난 오히려 재밌게 봤음
1,마블의 스펙트럼은 미쳤다
1,이게 왜 재미없어 오졌다 진짜
1,멀티버스로 세계관 확장 마블의 끝은 어디인가
1,너무 재밌어서 짜릿했어요
1,엔드게임 이후로 가장 재밌는 마블 영화였음 뭐 취향 차이니
1,역시 기대 이상 극장을 뒤집어 놓으셨다
1,솔직히 7 67은 아님 샘 레이미 감독 작품은 별점은 낮아도 관객 수 엄청 높은 게 특징인 것 같다 너무 좋아서 2번 봄 59년생이신데 너무 신선해 연출 너무 좋았어요
1,영화 내 완다를 이해하려면 가급적 미드 완다 비전을 먼저 보고 이 영화 보기를 추천드려요 오래전부터 샘 레이미의 이런 공포스러운 연출을 선호하기 때문에 개인적으로 아주 좋았습니다
1,역시 마블이었습니다
1,재밌는데 평점 왜 그래 다들
1,혹평을 보고 갔더니 재미지네요 스토리 이해를 위해 완다 비전은 보시는 게 좋고요 음표 공격은 신선했습니다 
1,그냥 마블 시리즈 좋아하시면 줏대 있게 꼭 보세요 저는 너무 재밌었어요 7 67은 절대 아닌 것 같아 10점 주고 갑니다
1,음표씬 빼면 볼만했어요
1,와 재밌던데 평점 왜 이러지
1,재밌게 잘 봤습니다
1,불행한 인생 완다의 모성애
1,너무 재밌었어요 
1,평점 관객 수가 모든 걸 얘기해 줄 것이다
1,생각 없이 봤는데 재밌어요 인기 많은 이유가 있네요 
1,베네딕트 너무 멋지네요 매력적입니다
1,4DX로 봤는데 연출합니다 강추 
1,눈과 귀가 즐거웠습니다 너무 재밌음 
1,완다 너무 슬퍼 완다 비전 보고 이거 보니까 영화 너무 재미있음
1,제목 그대로 대혼돈의 멀티버스 
1,아 4d로 볼 걸
1,시간 가는 줄 모르게 관람할 수밖에 없는 영화입니다 두 시간이 순식간에 지나갑니다
1,화려한 영상미의 마블은 역시 극장에서 봐야 꿀 잼이네요
1,미쳤습니다 꼭 포디로 보세요
1,메타버스 여러 시공간 이동할 때 우와 하면서 봤어요 중간중간 유치할 수도 있는 부분도 있었지만 내용이랑 무난히 이어져서 좋았어요 오이 오빠 역시 닥터 스트레인지에 찰떡입니다
1,와 진짜 재밌습니다 또 보고 싶어요 
1,멀티버스 세계가 최고네 베네딕트도 존멋
1,마블은 기대를 저버리지 않는다 3편이 더 기대되는 쿠키영상 꼭 보고 나오세요
1,진짜 재밌음 스트레스 풀림
1,다들 연기 너무 잘하더라 보면서 여러 번 소름 돋았는데
1,명불허전 마블 후속편이 기대가 됩니다 
1,1 안 봐서 걱정했는데 정말 재밌네요 역시 마블이라는 말이 괜히 나온 게 아닌 것 같아요
1,1편 2편 모두 재밌습니다 3편도 빨리 나와주기를 
1,쉴 틈 없이 전개가 돼서 정말 정신이 쏙 빠졌네요 이건 또 봐도 재밌을 것 같아요
1,시간 엄청 잘 가요 재밌습니다 
1,1인 다 역인데 다 다른 사람 같은 연기 클래스가 남다름
1,쉴 새 없이 재미지는 영화랄까 시간 순식간에 지나감
1,최고예요 오래간만에 마블 너무 재미있게 봤어요 
1,너무 재밌었어요 또 보고 싶네요
1,호불호 갈릴 수 있는데 저는 너무 재밌더라고요 벌써부터 3편이 기다려집니다
1,완다한테 왜 그래 흑흑 전나 잼슴
1,닥터 스트레인지 역시나 재미나네요 완다 비전도 봐야겠어요 
1,샘 레이미 감독 이름값 제대로 한 영화
1,꿀 잼이다 완다 이야기가 개인적으로 인상 깊었음
1,색다르고 재밌었던 닥터 스트레인지 2
1,여태까지 본 마블 영화들 중 최고인 듯
1,기대한 거 이상의 재미와 감동 또 볼 거야
1,캬 그냥 지렸다 미친 영상미
1,정말 대혼돈이네요 재밌었어요 
1,완다 비전 드라마를 봐야 완다를 이해할 수 있다 안 보고 영화만 보면 이해 안 되는 것 투성이
1,앞으로가 더 기대됩니다 닥스는 저의 최애 캐릭터 이에 오
1,그냥 말이 필요 없는 영화 그냥 보세요 한번 보고 두 번 보세요 
1,스펙터클한 장면들이 인상적이었다 
1,몰입감 좋고 시간 가는 줄 모름 
1,존잼인데 호불호는 갈릴 듯 
1,잘 봤어요 다음 편 기대됩니다 
1,샘 레이미 감독 특유의 연출이 돋보인다 
1,만남과 이별이 있는 감동 드라마
1,소문 듣고 봤는데 듣던 대로 재밌었고 4DX로 보면 더 재밌을 것 같습니다
1,재밌게 봤어요 또 보고 싶어요 
1,마블 영화는 언제나 재미있다 배우들 연기력도 지림
1,역시 마블이라는 평이 나오는 영화에요 추천드립니다 
1,볼거리 많고 시간 가는 줄 몰랐음 이런 게 꿀잼이쥬
1,재밌어요 역시 마블
1,진짜 대단하다는 말이 진짜 전혀 아깝지 않다
1,연기도 좋고 스토리도 좋아요 완벽합니다
1,두 번 봐도 재밌는 영화 이왕 보실 거 특별관에서 보는 걸 추천드려요 
1,오랜만에 극장에서 마블 영화를 보니 행복하더라
1,완다 비전 드라마 보면 10점 안 보면 8점 이하 그리고 닥스와 완다 특히 완다 연기가 좋았음
1,올해 본 영화 중에서 가장 재미있게 봤습니다 스토리 OST도 너무 좋았습니다
1,장르를 바꿔야 될 것 같아요 액션 호러 스티븐 역시나네요 기대한 만큼 재미있게 잘 봤습니다 별 다섯 개 꾹
1,닥터 스트레인지 액션과 멀티버스의 세계 흥미롭고 볼만했습니다
1,영화관 가서 또 보고 싶음
1,두 분 다 연기가 인상적이었습니다 정말로 영상미와 연출을 대혼돈 살짝 아쉽지만 베니 팬이고 앞전 연결되는 영화를 봐서 그런지 나름 재밌게 봤습니다 기존에 웅장 한은 없지만 가볍게 B급 느낌 
1,2시간 동안 시간 가는 줄 모르고 봤어요 재밌게 봤어요 
1,12세 관람가치곤 잔혹함과 공포가 높긴 하지만 재미있게 보긴 좋습니다 다만 이제 마블 영화는 사전 지식이나 기존 영화 드라마를 보지 않고 선 이해하기 어려워지는 단점이 있네요
1,영상미 스토리 연기 연출 빠지는 거 없는 역시 마블과 배우들과 샘 레이미 감독 기대했는데 역시 그 이상
1,잘 봤습니다
1,이 영화는 화려한 영상미를 보여준다 빠른 전개와 높은 시네마 그래픽을 활용한 표현으로 보는 이로 하여금 긴장감과 높은 시각적 재미를 선사한다 멀티버스라는 양자역학의 물리학적 개념에 대한 전반적인 이해를 갖고 시청한다면 영화를 보다 흥미롭게 볼 수 있겠지만 이 영화는 모든 연령을 대상으로 제작된 영화이니 만큼 다중우주 론에 대한 이해를 반드시 요하지는 않는다 이 영화의 멀티버스란 평행우주와 다중우주관을 함께 채용하고 있는 다중우주 세계관으로써 간략하여 여러 우주가 존재한다는 점만 인지한다면 영화를 재미있게 볼 수 있으므로 어린 친구들에게 사전 설명을 해준다면 더할 나위 없이 좋은 관람이 될 수 있다
1,이게 왜 7점대인지 공포영화 같은 연출 미쳤는데 프로페서 x가 정신 들어갔을 때 연출 보고 그저 박수
1,스릴이 최고 네 왜 이제야 본 거임
1,베네딕트는 닥터 스트레인지 분장이 너무 잘 어울린다 진짜 최고였다
1,아니 근데 뭐 하러 캡틴 마블 완다 같은 개사기 캐릭터를 만들어서 어벤저스 파워 밸런스 붕괴시키고 비교적 평범한 아이언맨 캡틴 아메리가 다 골로 보냈는지 이해가 안 됨 그래놓고 이제 마법사들 나와서 무슨 해리 포터를 찍는 건지 마법 싸움이나 하고 있는지 이해는 안 되지만 재밌었음
1,아니 난 기대만큼 재밌었는데 생각보다 평점이 대용이네
1,오랜 기다림만큼 내용도 연기도 연출도 훌륭했습니다 멀티버스를 통과할 때 cg도 정말 환상적 상상력이 어마 무시 악마의 망토라니 완다의 짠함도 여운이 남네요 끝나자마자 다시 보고 싶은 영화 내 사랑 마블 내 사랑 닥스 
1,1보다 2는 좀 호불호 갈릴만 합니다 3 쩔 거 같아요 기다리겠습니다
1,마블 공포 버전 근데 완다 비전 보고 멀티버스 이해해야 재밌음다 보고 간 나는 재밌었다 
1,재밌었지만 중간에 잤음
1,러닝타임 가득 채운 서사와 연출 환상적이다 마블 시리즈 중 손에 꼽는 명작 평점 7점에 사람들 평이 엇갈려서 기대 안 하고 봤는데 극장에서 보길 잘했다
1,호러물인 줄 전 잼이네요 유치해서 재밌음
1,완다 무서워 재밌게 봤어요 쿠키영상이 골 때림 꼭 보세요
1,재밌게 잘 봤습니다 재미없다는 사람은 마블 취향이 아닌 듯
1,갓 갓 갓 갓 개 재미있었다 보기 전에 완다 비전 꼭 보시고 가시길
1,선택과 결과에 대한 아주 좋은 영화였습니다
1,재밌음 디즈니 플러스에서 완다비젼과 로키 보고 보는 걸 추천드립니다
1,마블 세계관을 알면 너무 재미나는 영화임 디즈니 미드 안보 면 이게 뭐지 할 거임 분명 재미나는 영화임
1,기대 이상 대혼돈 너무 재미있었어요 
1,엄청난 세계관 CG와 스토리 강력 추천
1,스릴 만점 재미 만점
1,4DX로 봤는데 너무 재미있었음 음표 공격은 뭔가 의미가 있는 건가 응 했지만 완다와 닥스의 대결이란 bb 완다 비전을 미리 봐야 완다의 감정선을 이해하기 쉽다고 해서 걱정했는데 해 두명 애 엄마는 안 봐도 너무 알 것 같은 그래도 보려고 합니다 
1,영상미 너무 좋고 역시는 역시였다 다음 편도 너무 기대됩니다 
1,너무 재미있었다 볼거리 대박 화려해 
1,스파이더맨 노 웨이 홈에서 기대했던 스케일 재밌어요
1,너무 재밌게 봤다 근데 완다 비전 안 보고 가면 갑자기 왜 저러지 할 것 같음
1,나는 너무 재미있었는데
1,선과 악이 확실한 마블 
1,마블 영화는 항상 실망시키지 않아서 좋아요
1,오랜만에 마블 영화 재밌게 잘 봤습니다 
1,완성도는 조금 아쉽지만 대략 만족했다 완다 비전이나 다른 작품 모두 습득한 후에 보는 편이 알만큼 보이더라 뭔가 미국 카툰 느낌이 다른 영화보다 강하게 느껴졌으면 촌스러운 것도 이름이 아메리카 능력도 별 모양 그리고 마지막 쿠키영상 그게 좀 많이 깨서 아쉬움 여자 캐릭터가 음 촌스럽고 다음 편이 안 궁금해짐
1,음표 싸움 빼고는 재미있게 잘 봤습니다
1,멀티버스를 다룬 흥미진진한 스토리와 다채로운 볼거리가 좋았습니다 
1,스릴러 같기도 하고 재미있었음 완다 
1,와 4DX로 보니까 장난 아니더라고요 2D로 봤으면 뭔가 아쉬웠을 거 같아요
1,재밌어요 마지막 장면엔 슬퍼서 눈물도 났어요 
1,영상미 최고였어요 베네딕트 연기는 기대한 만큼 만족 
1,진짜 정말로 갸꿀잼 파이팅
1,역시 마블입니다 2시간이 어떻게 간지 모르겠어요
1,풍성한 볼거리가 지리네요 또 볼래요
1,믿고 보는 영화 마블 잘 보고 갑니다 
1,더 강력하게 돌아온 닥터 스트레인지
1,cg 효과도 대박이고 지루할 틈 없이 보게 됨 
1,스토리도 마블 세계관을 한층 더 넓어진 듯
1,그냥 미쳤다는 말밖엔
1,닥터 스트레인지 2 볼거리 많고 재밌었어요 닥스 3가 기대됩니다
1,개인적으로 너무 재미있었음 
1,시간 가는 줄 몰랐고 재밌었어요 제목 그대로 대혼돈의 멀티버스였어요 
1,사랑하는 마블 캐릭터 완다에게 온 마음을 빼앗겼습니다 영화가 뒷부분으로 갈수록 슬프고 마음이 아려왔어요 같이 보는 관객분들도 많이 우시더군요 정말 재밌게 봤고 여운도 긴 영화였습니다
1,진짜 최고 기존 닥터 스트레인지에다 호러 장르를 더해서 기존과는 느낌이 다른 영화였어요 진짜 음악이며 스토리며 진짜 미침
1,너무 재미있었는데 난 강추
1,아쉬운 점도 있지만 영상미가 너무 좋았습니다
1,재밌게 봄 옛날 터미네이터 1 때 기억나서 좋았음 심신 안정이 매우 중요한 걸 알게 해준 영화임
1,닥스 보면서 울지는 몰랐는데 완다 덕에 막판에 울었네 꼭 디즈니에서 하는 완다 드라마 보고 가길 못 본다면 내용요약이라도 보고 가길 
1,베네딕트 최고 엘리자베스 최고
1,재밌다 진짜 특히 영상미가
1,개인적으로는 재미있게 봤음 완다가 주인공이 영화
1,근래 본 영화 중 제일 슬픔
1,첫 장면부터 재밌네요
1,음표 싸움 웃겼음 스토리가 뻔하긴 했음 그래도 굳
1,B급 호러물의 거장 샘 레이미 그는 2000년대 초반 소니픽처스의 스파이더맨 트릴로 기를 연출하며 히어로물 감독으로서도 훌륭한 성공을 거뒀다 물론 당시엔 그가 좋아하던 좀비는 등장시키지 못했으나 이번 닥터 스트레인지 대혼돈의 멀티버스에서는 그가 좋아하고 잘 하는 공포영화의 요소들을 대거 등장시켰다 B급 호러 무비와 히어로 무비의 융합이라 할 수 있는 이 영화가 나에게는 굉장히 신선한 재미를 주었다 특히 일루미나티 멤버들이 나오는 멀티버스에서의 스토리는 다른 마블 코믹스 캐릭터들에 대한 흥미를 끌기도 좋았고 액션신에서는 샘 레이미식 B급 호러 액션 연출도 선보이며 향수를 불러일으키기도 했다 다만 감독의 이블 데드 시리즈를 좋아하지 않거나 정석적인 히어로 무비를 기대한 관객에게는 그야말로 대혼돈일 가능성이 높다
1,음표 싸움 미키마우스 오마준데 미키마우스라는 마스터피스도 모르고 무지성 얼까 하는 수준 떨어지는 관람객들 
1,완다 비전 꼭 보고 영화 봐야 함
1,나만 괜찮았나 봄 Cg랑 연기가 다한 영화
1,늘 사랑으로 키울 게
1,완다 비전 보기 전에 영화를 접했을 땐 당최 완다가 왜 저런 어마 무시한 빌런이 되었는지 몰랐는데 완다 비전 보고 난 후 다시 2번째로 보고는 100프로 이해가 갔다 역시 마블 시리즈는 너와 나의 연결고리 정말 화려한 CG 볼만해요 역시 마블은 마블 
1,음 난 그냥 즐기기에 적합하고 재미있던디
1,재밌는데 평점 왜 이래 완다의 기구한 인생이여
1,진짜 재밌습니다 특히 완다가 어떤 마음인지 또 그걸 막는 주인공들도 대단하고요 반전 요소도 많고 재밌어요 1년에 이 정도 영화 한편 나올까 말까 물론 더 재밌게 못 만든 건 아쉽네요 가디언즈 오브 갤럭시 인피니티 워 등 보다 덜 재밌음 평점 8 5
1,저는 재밌게 봤습니다 
1,기대를 저버리지 않는 샘 레이미의 귀환
1,나눈 개 재밌었는데
1,사랑해요 베니
1,난 너무 재밌었음
1,난 대전 잼이었음
1,그냥 개꿀 잼이다 올슨 매력 터짐
1,재밌었다 재밌었다 와 와
1,호불호가 갈리는 거 자체가 이해가 안 감영화 끝나자마자 또 보고 싶단 생각밖에 안 듦 영웅물을 진지하게 받아들이지 말고 가벼운 마음으로 만화책 보듯 봐야 훨씬 재밌는데 진지 충돌 많네 쩝
1,B급 호러 액션 로맨스 판타지 SF 등 다양한 장르를 한데 넣고 쓰깠는데 이게 맛이 있네 
1,상상력의 한계는 없다 
1,지립니다 스파이더맨 노 웨이 홈보다 재밌어요
1,일단 15세 관람가여야 맞을 것 같다 평소 마을과는 달리 다소 잔인한 편 아쉬움이 남는다는 말들이 나오는 데 동의하긴 하지만 그래도 재밌었다
1,마블과 호러의 조합이라니 지루할 틈 없이 너무 재밌게 봄
1,잔인한 부분들이 많이 포함되어 있어서 그 부분에 대해선 별 2개 주고 싶어요 근데 그 외에 스토리나 cg 퀄리티 배우들의 연기들은 끝내줬습니다
1,마블 엔드게임 이후 최고의 걸작
1,왜 이리 낮은지 모르겠어요 솔직히 저는 스파이더맨 보다 재밌었습니다
1,호불호가 심한 긴 한데 재밌었음
1,전체적인 느낌은 왓 이프 애니메이션의 실사화
1,진짜 취향 저격 좀 더 무서웠더라면 좋았을걸
1,영화 곳곳에 팬 서비스 가득하고 영상 퀄리티 훌륭 차원이 동 멀티버스 소재를 잘 표현했음 평점 낮게 준 사람들 글에 공감하지만 그러나 매우 잘 만든 영화라고 생각함 생치 때를 생각하면 별 10개 줘도 부족함
1,내 인생의 최고 영화 스트레인지 변함없이 2에서도 가슴 남았어요 역대 최고 3기대합니다 
1,넘넘 재밌게 봤어요
1,완다가 타노스보다 100배는 센 거 같아요 예전에 그렇게 힘 좀 써주지
1,2시간 동안 시간 가는 줄 모르고 너무 재밌게 봤네요
1,마블 좋아해서 너무 재밌다
1,상당히 재미있는데 굿임
1,진짜 퀄리티 미쳤어요
1,전 재밌게 봤어요 앞으로 기대 중
1,진짜 마블 시리즈 중 첨으로 마음을 울렸음 평점 왜 이렇게 낮음 솔직히 다른 시리즈에서 때려 부술 때보다 이번 거 스토리가 집하고 진한 여운 남았음
1,아마 마블 스튜디오 영화와 드라마 역사상 호불호가 제일 갈리는 영화가 아닐까 생각됩니다 저는 그로테스크한 부분과 배우의 연기가 좋아서 재밌게는 보았습니다 근데 다만 이거 연령 제한을 19까진 아니지만 좀 올려야 하지 않을까 싶네요
1,좋았어 오래간만에 좋은 거 나왔구먼 이것이 감독의 힘인 것인가 이 복잡하고 번잡스러운 멀티버스를 이렇게 깔끔하게 만들 수 있다니 만족스럽군 이거 내용 모르는 애덜은 이해 못 해서 이게 뭐야 이러고 있쥬 역시 공포영화감독이라 그런가 소리 잘 사용하네 여하튼 나는 좋았어 굿굿굿
1,저는 완다 팬이어서 그런가 재밌었어요 
1,저항 없이 울게 되는 장면 너무 많아
1,역대 최고네요 역시 마블 
1,아 몰라 최고였음 진짜로
1,닥터스 레인지 시리즈 탑이라고 생각합니다 아주 다크 하네요
1,역시 마블임 다만 호불호가 갈릴 것 같음
1,닥스 좋아 재밌었음 완다 비전 안 봤는데 그렇게 보는데 어렵지도 않았다
1,세계관 공유하는 작품들 전부 합치면 이미 30편이 넘는 영화 프랜차이즈에 진입장벽 운운하는 미개한 것들 언제부턴가 조선 것들이 잡지식만 주워들어서 영화를 보면 단점부터 찾기 바쁘구나 너네야말로 타 노스가 말한 지식의 저주에 걸린 거 아닐까 옛날에 박편식이 영화 조금만 비판해도 그렇게 발작하던 것들이 요즘은 일반 관람객들이 평론가들보다 더 엄격하니 수준이 전문가 수준입니다
1,시간 가는 줄 모르고 오랜만에 재미있었습니다 
1,나는 너무너무 재밌었음
1,원래 코믹스가 호러 게였구나
1, 내가 본 MCU 영화 중 가장 재미있었다 
1,완다가 행복했으면 좋겠다
1,나 너무 재밌었는데 평점 왜 이러지
1,생각보다 너무 좋았으면 재밌고
1,전 너무 재밌었어요 두 번 보고 싶은 영화
1,완다 연기에 놀랐으면 이렇게 잘할 줄은 또 보고 싶음
1,재밌는데요 기본적인 스토리와 영화의 콘셉트를 알고 가시면 더 잘 즐기실 수 있을 듯
1,난 마블이 빠 진짜 재밌었는데 과연 일반인들은 그렇게까지 재미있을지 일반인 관점에서는 6 7점 마블 광 팬으로는 9 10점 
1,우리 누나 행복하게 좀 해줘
1,뭔가 속에 있는 이야기를 터놓는 닥터의 마음을 알 것 같은 느낌
1,난 진짜 역대급으로 재밌었는데 남자친구랑 호들갑 떨면서 봤는데 평점 보니 속상하네 재밌어요 
1,다들 평이 살짝 안 좋아서 걱정했는데 나는 재밌더라
1,두 번째 쿠키영상 중요하니까 보고 나오세요
1,나중에 멀티버스끼리 이동하는 능력을 가진 아메리크차베즈로 영화로 나올 거 같은 느낌이
1,두 번째 쿠키 정말 소름
1,명작 명작 명작 명작 명작
1,이게 7점 대면 무슨 영화를 볼 수 있나 감히 최고의 영화라 명한다
1,난 진자 너무 재밌게 봤음
1,난 진짜 재밌게 봤으면 복잡하고 얽힌 세계관을 되게 좋아하는 사람이라 앞으로 더 복잡해질 세계관을 맛보기 해준 영화라 생각함 닥스 1 스파이더맨만 보고 대충 멀티버스 개념만 알아도 영화 흐름 이해하는 데는 전혀 지장이 없음 완다 비전을 봤으면 완다 감정선을 더 깊이 있게 이해하는데 도움이 될 거 같음 개인적으로 아는 만큼 보이고 즐길 수 있는 영화라 생각함 닥스 1과 스파이더맨을 보고 봤는데도 스토리가 지루하고 무슨 말인지 모르겠다 하시는 분들은 분명 님들의 이해력 탓입니다 스토리는 지루할 수가 없는 게 상당히 많은 내용이 몰아쳐서 세세한 부분까지 캐치하려면 꽤 힘들고 놓칠 수 있는 게 좀 있음 암튼 간에 전 재밌게 봤다 이것에 용
1,완다를 위한 영화
1,개인적으로 닥스가 최애 마블 캐릭터 이어서 더 재밌었고 호불호가 많이 갈리던데 왤까 암튼 또 보러 갈 거임 진짜 
1,완다 비전 안 봤지만 보고 나면 완다가 다시 보이겠죠 일단 전 재밌었네요 음표 싸움 유치하다 하던데 솔직히 살짝 유치하긴 해요 중간에 좀비 뜬금없었긴 함 생각해보면 큰 그림이었네 닥스짱 bb 그리고 깜짝 놀라는 부분 많음
1,방금 보고 왔는데 적당한 공포와 액션이 잘 버무려졌는데 신선했음
